ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT
Vivek Sagar Prasad,India,Hockey,Men,S,Asia
Sushila Chanu Pukhrambam,India,Hockey,Women,B,Asia
Amit Rohidas,India,Hockey,Men,S,Asia
null Savita,India,Hockey,Women,B,Asia
Nilakanta Sharma,India,Hockey,Men,S,Asia
null Singh Akashdeep,India,Hockey,Men,S,Asia
null Singh Gurjant,India,Hockey,Men,S,Asia
null Singh Hardik,India,Hockey,Men,S,Asia
null Singh Harmanpreet,India,Hockey,Men,S,Asia
null Singh Jarmanpreet,India,Hockey,Men,S,Asia
null Singh Jugraj,India,Hockey,Men,S,Asia
null Singh Mandeep,India,Hockey,Men,S,Asia
null Singh Manpreet,India,Hockey,Men,S,Asia
null Singh Shamsher,India,Hockey,Men,S,Asia
null Sonika,India,Hockey,Women,B,Asia
Salima Tete,India,Hockey,Women,B,Asia
null Udita,India,Hockey,Women,B,Asia
Lalit Kumar Upadhyay,India,Hockey,Men,S,Asia
Shushila Devi Likmabam,India,Judo,Women -48 kg,S,Asia
Tulika Maan,India,Judo,Women +78 kg,S,Asia
Vijay Kumar Yadav,India,Judo,Men -60 kg,B,Asia
Sunil Bahadur,India,Lawn Bowls and Para Lawn Bowls,Men's Fours,S,Asia
Lovely Choubey,India,Lawn Bowls and Para Lawn Bowls,Women's Fours,G,Asia
Dinesh Kumar,India,Lawn Bowls and Para Lawn Bowls,Men's Fours,S,Asia
null Pinki,India,Lawn Bowls and Para Lawn Bowls,Women's Fours,G,Asia
Nayanmoni Saikia,India,Lawn Bowls and Para Lawn Bowls,Women's Fours,G,Asia
Navneet Singh,India,Lawn Bowls and Para Lawn Bowls,Men's Fours,S,Asia
Chandan Kumar Singh,India,Lawn Bowls and Para Lawn Bowls,Men's Fours,S,Asia
Rupa Rani Tirkey,India,Lawn Bowls and Para Lawn Bowls,Women's Fours,G,Asia
. Sudhir,India,Para Powerlifting,Men's Heavyweight,G,Asia
Saurav Ghosal,India,Squash,Mixed Doubles,B,Asia
Saurav Ghosal,India,Squash,Men's Singles,B,Asia
Dipika Pallikal Karthik,India,Squash,Mixed Doubles,B,Asia
Sharath Kamal Achanta,India,Table Tennis and Para Table Tennis,Men's Team,G,Asia
Sharath Kamal Achanta,India,Table Tennis and Para Table Tennis,Mixed Doubles,G,Asia
Sharath Kamal Achanta,India,Table Tennis and Para Table Tennis,Men's Doubles,S,Asia
Sharath Kamal Achanta,India,Table Tennis and Para Table Tennis,Men's Singles,G,Asia
Sreeja Akula,India,Table Tennis and Para Table Tennis,Mixed Doubles,G,Asia
Harmeet Desai,India,Table Tennis and Para Table Tennis,Men's Team,G,Asia
Sathiyan Gnanasekaran,India,Table Tennis and Para Table Tennis,Men's Singles,B,Asia
Sathiyan Gnanasekaran,India,Table Tennis and Para Table Tennis,Men's Doubles,S,Asia
Sathiyan Gnanasekaran,India,Table Tennis and Para Table Tennis,Men's Team,G,Asia
Sonalben Manubhai Patel,India,Table Tennis and Para Table Tennis,Women's Singles Classes 3-5,B,Asia
Bhavina Hasmukhbhai Patel,India,Table Tennis and Para Table Tennis,Women's Singles Classes 3-5,G,Asia
Sanil Shetty,India,Table Tennis and Para Table Tennis,Men's Team,G,Asia
Singh Gurdeep,India,Weightlifting,Men's 109+kg,B,Asia
Gururaja Gururaja,India,Weightlifting,Men's 61kg,B,Asia
Lalrinnunga Jeremy,India,Weightlifting,Men's 67kg,G,Asia
Harjinder Kaur,India,Weightlifting,Women's 71kg,B,Asia
Singh Lovepreet,India,Weightlifting,Men's 109kg,B,Asia
Chanu Saikhom Mirabai,India,Weightlifting,Women's 49kg,G,Asia
Sanket Mahadev Sargar,India,Weightlifting,Men's 55kg,S,Asia
Achinta Sheuli,India,Weightlifting,Men's 73kg,G,Asia
Bindyarani Devi Sorokhaibam,India,Weightlifting,Women's 55kg,S,Asia
Vikas Thakur,India,Weightlifting,Men's 96kg,S,Asia
Pooja Gehlot,India,Wrestling,Women's Freestyle 50 kg,B,Asia
Mohit Grewal,India,Wrestling,Men's Freestyle 125 kg,B,Asia
Divya Kakran,India,Wrestling,Women's Freestyle 68 kg,B,Asia
Sakshi Malik,India,Wrestling,Women's Freestyle 62 kg,G,Asia
Anshu Malik,India,Wrestling,Women's Freestyle 57 kg,S,Asia
Naveen Naveen,India,Wrestling,Men's Freestyle 74 kg,G,Asia
Deepak Nehra,India,Wrestling,Men's Freestyle 97 kg,B,Asia
Vinesh Phogat,India,Wrestling,Women's Freestyle 53 kg,G,Asia
Deepak Punia,India,Wrestling,Men's Freestyle 86 kg,G,Asia
Bajrang Punia,India,Wrestling,Men's Freestyle 65 kg,G,Asia
Kumar Ravi,India,Wrestling,Men's Freestyle 57 kg,G,Asia
Pooja Sihag,India,Wrestling,Women's Freestyle 76 kg,B,Asia
Rasheed Broadbell,Jamaica,Athletics and Para Athletics,Men's 110m Hurdles,G,Caribbean & Americans
Junelle Bromfield,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Caribbean & Americans
Junelle Bromfield,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Remona Burchell,Jamaica,Athletics and Para Athletics,Women's 4 x 100m Relay,B,Caribbean & Americans
Lamara Distin,Jamaica,Athletics and Para Athletics,Women's High Jump,G,Caribbean & Americans
Natoya Goule,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Caribbean & Americans
Natoya Goule,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Jaheel Hyde,Jamaica,Athletics and Para Athletics,Men's 400m Hurdles,S,Caribbean & Americans
Roneisha McGregor,Jamaica,Athletics and Para Athletics,Women's 4 x 100m Relay,B,Caribbean & Americans
Roneisha McGregor,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Roneisha McGregor,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Caribbean & Americans
Kemba Nelson,Jamaica,Athletics and Para Athletics,Women's 4 x 100m Relay,B,Caribbean & Americans
Shanieka Ricketts,Jamaica,Athletics and Para Athletics,Women's Triple Jump,G,Caribbean & Americans
Janieve Russell,Jamaica,Athletics and Para Athletics,Women's 400m Hurdles,G,Caribbean & Americans
Shiann Salmon,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Shiann Salmon,Jamaica,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Caribbean & Americans
Shiann Salmon,Jamaica,Athletics and Para Athletics,Women's 400m Hurdles,S,Caribbean & Americans
Traves Smikle,Jamaica,Athletics and Para Athletics,Men's Discus Throw,B,Caribbean & Americans
Danniel Thomas-Dodd,Jamaica,Athletics and Para Athletics,Women's Shot Put,S,Caribbean & Americans
Elaine Thompson-Herah,Jamaica,Athletics and Para Athletics,Women's 100m,G,Caribbean & Americans
Elaine Thompson-Herah,Jamaica,Athletics and Para Athletics,Women's 4 x 100m Relay,B,Caribbean & Americans
Elaine Thompson-Herah,Jamaica,Athletics and Para Athletics,Women's 200m,G,Caribbean & Americans
Natalliah Whyte,Jamaica,Athletics and Para Athletics,Women's 4 x 100m Relay,B,Caribbean & Americans
Kimberly Williamson,Jamaica,Athletics and Para Athletics,Women's High Jump,B,Caribbean & Americans
Ebony Drysdale Daley,Jamaica,Judo,Women -70 kg,S,Caribbean & Americans
Shanice Horasha Beckford,Jamaica,Netball,Netball,S,Caribbean & Americans
Kadie-ann Alicia Dehaney,Jamaica,Netball,Netball,S,Caribbean & Americans
Nicole Dixon-Rochester,Jamaica,Netball,Netball,S,Caribbean & Americans
Jhaniele Karyl Fowler,Jamaica,Netball,Netball,S,Caribbean & Americans
Shadian Toni-ann Hemmings,Jamaica,Netball,Netball,S,Caribbean & Americans
Shimona Nelson,Jamaica,Netball,Netball,S,Caribbean & Americans
Rebekah Theresa Robinson,Jamaica,Netball,Netball,S,Caribbean & Americans
Shamera Shadae Sterling,Jamaica,Netball,Netball,S,Caribbean & Americans
Adean Tamesha Thomas,Jamaica,Netball,Netball,S,Caribbean & Americans
Jodi-Ann Ward,Jamaica,Netball,Netball,S,Caribbean & Americans
Khadijah Amoy Williams,Jamaica,Netball,Netball,S,Caribbean & Americans
Latanya Amoy Wilson,Jamaica,Netball,Netball,S,Caribbean & Americans
Selah Busienei,Kenya,Athletics and Para Athletics,Women's 5000m,B,Africa
Beatrice Chebet,Kenya,Athletics and Para Athletics,Women's 5000m,G,Africa
Jackline Chepkoech,Kenya,Athletics and Para Athletics,Women's 3000m Steeplechase,G,Africa
Irine Chepet Cheptai,Kenya,Athletics and Para Athletics,"Women's 10,000m",S,Africa
Timothy Cheruiyot,Kenya,Athletics and Para Athletics,Men's 1500m,S,Africa
Daniel Simiu Ebenyo,Kenya,Athletics and Para Athletics,"Men's 10,000m",S,Africa
Michael Mugo Githae,Kenya,Athletics and Para Athletics,Men's Marathon,B,Africa
Kibiwott Kandie,Kenya,Athletics and Para Athletics,"Men's 10,000m",B,Africa
Abraham Kibiwot,Kenya,Athletics and Para Athletics,Men's 3000m Steeplechase,G,Africa
Nicholas Kipkorir Kimeli,Kenya,Athletics and Para Athletics,Men's 5000m,S,Africa
Wyclife Kinyamal,Kenya,Athletics and Para Athletics,Men's 800m,G,Africa
Sheila Chepkirui Kiprotich,Kenya,Athletics and Para Athletics,"Women's 10,000m",B,Africa
Jacob Krop,Kenya,Athletics and Para Athletics,Men's 5000m,B,Africa
Mary Moraa,Kenya,Athletics and Para Athletics,Women's 800m,G,Africa
Wiseman Were Mukhobe,Kenya,Athletics and Para Athletics,Men's 4 x 400m Relay,B,Africa
Margaret Wangari Muriuki,Kenya,Athletics and Para Athletics,Women's Marathon,S,Africa
William Mbevi Mutunga,Kenya,Athletics and Para Athletics,Men's 4 x 400m Relay,B,Africa
Boniface Ontuga Mweresa,Kenya,Athletics and Para Athletics,Men's 4 x 400m Relay,B,Africa
Emily Wamusyi Ngii,Kenya,Athletics and Para Athletics,"Women's 10,000m Race Walk",B,Africa
Mike Mokamba Nyang'au,Kenya,Athletics and Para Athletics,Men's 4 x 400m Relay,B,Africa
Ferdinand Omanyala,Kenya,Athletics and Para Athletics,Men's 100m,G,Africa
William Rayian,Kenya,Athletics and Para Athletics,Men's 4 x 400m Relay,B,Africa
Amos Serem,Kenya,Athletics and Para Athletics,Men's 3000m Steeplechase,B,Africa
Julius Yego,Kenya,Athletics and Para Athletics,Men's Javelin Throw,B,Africa
Hellen Wawira Kariuki,Kenya,Para Powerlifting,Women's Lightweight,B,Africa
Joyce Wambui Njuguna,Kenya,Para Powerlifting,Women's Heavyweight,B,Africa
Gabriel Gilbert Daim,Malaysia,Aquatics - Diving,Men's Synchronised 3m Springboard,S,Asia
Yan Yee Ng,Malaysia,Aquatics - Diving,Women's Synchronised 3m Springboard,S,Asia
Muhammad Syafiq Bin Puteh,Malaysia,Aquatics - Diving,Mixed Synchronised 3m Springboard,B,Asia
Muhammad Syafiq Bin Puteh,Malaysia,Aquatics - Diving,Men's Synchronised 3m Springboard,S,Asia
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Women's Synchronised 3m Springboard,S,Asia
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Mixed Synchronised 3m Springboard,B,Asia
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Women's 3m Springboard,S,Asia
Peng Soon Chan,Malaysia,Badminton,Mixed Team Event,G,Asia
Yee See Cheah,Malaysia,Badminton,Mixed Team Event,G,Asia
Teng Fong Aaron Chia,Malaysia,Badminton,Mixed Team Event,G,Asia
Teng Fong Aaron Chia,Malaysia,Badminton,Men's Doubles,B,Asia
Jin Wei Goh,Malaysia,Badminton,Mixed Team Event,G,Asia
Pei Jing Lai,Malaysia,Badminton,Mixed Team Event,G,Asia
Pei Jing Lai,Malaysia,Badminton,Mixed Doubles,B,Asia
Thinaah Muralitharan,Malaysia,Badminton,Women's Doubles,G,Asia
Thinaah Muralitharan,Malaysia,Badminton,Mixed Team Event,G,Asia
Tze Yong Ng,Malaysia,Badminton,Men's Singles,S,Asia
Tze Yong Ng,Malaysia,Badminton,Mixed Team Event,G,Asia
Wooi Yik Soh,Malaysia,Badminton,Men's Doubles,B,Asia
Wooi Yik Soh,Malaysia,Badminton,Mixed Team Event,G,Asia
Kian Meng Tan,Malaysia,Badminton,Mixed Team Event,G,Asia
Kian Meng Tan,Malaysia,Badminton,Mixed Doubles,B,Asia
Koong Le Pearly Tan,Malaysia,Badminton,Women's Doubles,G,Asia
Koong Le Pearly Tan,Malaysia,Badminton,Mixed Team Event,G,Asia
Muhammad Shah Firdaus Sahrom,Malaysia,Cycling - Track and Para Track,Men's Keirin,B,Asia
Izzah Binti Amzan,Malaysia,Gymnastics - Rhythmic,Clubs,B,Asia
Joe Ee Ng,Malaysia,Gymnastics - Rhythmic,Ball,G,Asia
Joe Ee Ng,Malaysia,Gymnastics - Rhythmic,Ribbon,G,Asia
Amir Daniel Bin Abdul Majeed,Malaysia,Judo,Men -73 kg,B,Asia
Syafiqa Haidar Afif Abdul Rahman,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Triples,S,Asia
Siti Zalina Ahmad,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Singles,B,Asia
Azlina Arshad,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Triples,S,Asia
Nur Ain Nabilah Tarmizi,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Triples,S,Asia
Bonnie Bunyau Gustin,Malaysia,Para Powerlifting,Men's Lightweight,G,Asia
Rachel Arnold,Malaysia,Squash,Women's Doubles,B,Asia
Aifa Azman,Malaysia,Squash,Women's Doubles,B,Asia
Li Sian Alice Chang,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia
Javen Choong,Malaysia,Table Tennis and Para Table Tennis,Mixed Doubles,S,Asia
Ying Ho,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia
Karen Lyne,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia
Karen Lyne,Malaysia,Table Tennis and Para Table Tennis,Mixed Doubles,S,Asia
Ai Xin Tee,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia
Bin Kasdan Mohamad Aniq,Malaysia,Weightlifting,Men's 55kg,G,Asia
Aznil Bin Bidin Muhamad,Malaysia,Weightlifting,Men's 61kg,G,Asia
Erry Hidayat Muhammad,Malaysia,Weightlifting,Men's 73kg,S,Asia
Katryna Esposito,Malta,Judo,Women -48 kg,B,Europe
Louis Richarno Colin,Mauritius,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),S,Africa
Remi Feuillet,Mauritius,Judo,Men -90 kg,S,Africa
Christianne Legentil,Mauritius,Judo,Women -57 kg,B,Africa
Sebastien Perrinne,Mauritius,Judo,Men +100 kg,B,Africa
Marie Hanitra Roilya Ranaivosoa,Mauritius,Weightlifting,Women's 49kg,S,Africa
Rady Adosinda Gramane,Mozambique,Boxing,Women’s Over 70kg-75kg (Middleweight),S,Africa
Tiago Osorio Muxanga,Mozambique,Boxing,Men’s Over 67kg-71kg (Light Middleweight),S,Africa
Alcinda Helena Panguane,Mozambique,Boxing,Women’s Over 66kg-70kg (Light Middleweight),B,Africa
Helalia Johannes,Namibia,Athletics and Para Athletics,Women's Marathon,B,Africa
Christine Mboma,Namibia,Athletics and Para Athletics,Women's 200m,B,Africa
Ananias Shikongo,Namibia,Athletics and Para Athletics,Men's T11/12 100m,B,Africa
Alexander Miller,Namibia,Cycling - Mountain Bike,Men's Cross-country,B,Africa
Maximina Uepa,Nauru,Weightlifting,Women's 76kg,B,Australia& Oceania
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,G,Australia& Oceania
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 200m Individual Medley,B,Australia& Oceania
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,G,Australia& Oceania
Cameron Gray,New Zealand,Aquatics - Swimming and Para Swimming,Men's 50m Butterfly,B,Australia& Oceania
Andrew Jeffcoat,New Zealand,Aquatics - Swimming and Para Swimming,Men's 50m Backstroke,G,Australia& Oceania
Tupou Neiufi,New Zealand,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke S8,S,Australia& Oceania
Sophie Pascoe,New Zealand,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,G,Australia& Oceania
Jesse Reynolds,New Zealand,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke S9,S,Australia& Oceania
Joshua Willmer,New Zealand,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke SB8,G,Australia& Oceania
Imogen Ayris,New Zealand,Athletics and Para Athletics,Women's Pole Vault,B,Australia& Oceania
Jacko Gill,New Zealand,Athletics and Para Athletics,Men's Shot Put,S,Australia& Oceania
Hamish Kerr,New Zealand,Athletics and Para Athletics,Men's High Jump,G,Australia& Oceania
Julia Ratcliffe,New Zealand,Athletics and Para Athletics,Women's Hammer Throw,S,Australia& Oceania
Tom Walsh,New Zealand,Athletics and Para Athletics,Men's Shot Put,G,Australia& Oceania
Maddison-Lee Wesche,New Zealand,Athletics and Para Athletics,Women's Shot Put,B,Australia& Oceania
Leuila Mau'u,New Zealand,Boxing,Men’s Over 92kg (Super Heavyweight),B,Australia& Oceania
Suzie Bates,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Eden Carson,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Sophie Devine,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Izzy Gaze,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Claudia Green,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Maddy Green,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Brooke Halliday,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Hayley Jensen,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Fran Jonas,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Amelia Kerr,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Rosemary Mair,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Jessica McFadyen,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Georgia Plimmer,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Hannah Rowe,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Lea Tahuhu,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania
Samuel Gaze,New Zealand,Cycling - Mountain Bike,Men's Cross-country,G,Australia& Oceania
Ben Oliver,New Zealand,Cycling - Mountain Bike,Men's Cross-country,S,Australia& Oceania
Aaron Gate,New Zealand,Cycling - Road,Men's Road Race,G,Australia& Oceania
Georgia Williams,New Zealand,Cycling - Road,Women's Individual Time Trial,B,Australia& Oceania
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Keirin,G,Australia& Oceania
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Sprint,G,Australia& Oceania
Bryony Botha,New Zealand,Cycling - Track and Para Track,Women's 3000m Individual Pursuit,G,Australia& Oceania
Bryony Botha,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania
Sam Dakin,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania
Michaela Drummond,New Zealand,Cycling - Track and Para Track,Women's 10km Scratch Race,S,Australia& Oceania
Michaela Drummond,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,G,Australia& Oceania
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 40km Points Race,G,Australia& Oceania
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania
Jordan Kerby,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania
Olivia King,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania
Bradly Knipe,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania
Rebecca Petch,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania
Tom Sexton,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania
Tom Sexton,New Zealand,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,S,Australia& Oceania
Emily Shearman,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania
Campbell Stewart,New Zealand,Cycling - Track and Para Track,Men's 40km Points Race,S,Australia& Oceania
Campbell Stewart,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania
Corbin Strong,New Zealand,Cycling - Track and Para Track,Men's 15km Scratch Race,G,Australia& Oceania
Sam Webster,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania
Sydnee Andrews,New Zealand,Judo,Women +78 kg,B,Australia& Oceania
Kody Andrews,New Zealand,Judo,Men +100 kg,S,Australia& Oceania
Moira de Villiers,New Zealand,Judo,Women -78 kg,B,Australia& Oceania
Tayla Bruce,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania
Tayla Bruce,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania
Selina Goddard,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Pairs,B,Australia& Oceania
Selina Goddard,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania
Katelyn Inch,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Pairs,B,Australia& Oceania
Val Smith,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania
Val Smith,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania
Nicole Toomey,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania
Nicole Toomey,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania
Gina Crampton,New Zealand,Netball,Netball,B,Australia& Oceania
Sulu Fitzpatrick,New Zealand,Netball,Netball,B,Australia& Oceania
Kate Heffernan,New Zealand,Netball,Netball,B,Australia& Oceania
Kayla Johnson,New Zealand,Netball,Netball,B,Australia& Oceania
Kelly Jury,New Zealand,Netball,Netball,B,Australia& Oceania
Phoenix Karaka,New Zealand,Netball,Netball,B,Australia& Oceania
Bailey Mes,New Zealand,Netball,Netball,B,Australia& Oceania
Grace Nweke,New Zealand,Netball,Netball,B,Australia& Oceania
Shannon Saunders,New Zealand,Netball,Netball,B,Australia& Oceania
Te Paea Selby-Rickit,New Zealand,Netball,Netball,B,Australia& Oceania
Whitney Souness,New Zealand,Netball,Netball,B,Australia& Oceania
Maia Wilson,New Zealand,Netball,Netball,B,Australia& Oceania
Michaela Blyde,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Kelly Brazier,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Leroy Carter,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Che Clark,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Dylan Collier,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Scott Curry,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Sam Dickson,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Jazmin Felix-Hotham,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Theresa Fitzpatrick,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Stacey Fluhler,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Sarah Hirini,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Shiray Kaka,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Moses Leo,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Ngarohi Mcgarvey-Black,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Sione Molia,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Tyla Nathan-Wong,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Tone Ng Shiu,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Risaleaana Pouri-Lane,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Akuila Rokolisoa,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Alena Saili,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Caleb Tangitau,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Regan Ware,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Joe Webber,New Zealand,Rugby Sevens,Men,B,Australia& Oceania
Niall Williams,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Tenika Willison,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Portia Woodman,New Zealand,Rugby Sevens,Women,B,Australia& Oceania
Paul Coll,New Zealand,Squash,Men's Singles,G,Australia& Oceania
Paul Coll,New Zealand,Squash,Mixed Doubles,G,Australia& Oceania
Joelle King,New Zealand,Squash,Women's Doubles,G,Australia& Oceania
Joelle King,New Zealand,Squash,Mixed Doubles,G,Australia& Oceania
Amanda Landers-Murphy,New Zealand,Squash,Women's Doubles,G,Australia& Oceania
Hayden Wilde,New Zealand,Triathlon and Para Triathlon,Men's Individual (Sprint Distance),S,Australia& Oceania
David Andrew Liti,New Zealand,Weightlifting,Men's 109+kg,S,Australia& Oceania
Tayla Ford,New Zealand,Wrestling,Women's Freestyle 68 kg,B,Australia& Oceania
Alaba Olukunle Akintola,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa
Ugochi Constance Alam,Nigeria,Athletics and Para Athletics,Women's F55-57 Shot Put,B,Africa
Obiageri Amaechi,Nigeria,Athletics and Para Athletics,Women's Discus Throw,B,Africa
Tobi Amusan,Nigeria,Athletics and Para Athletics,Women's 100m Hurdles,G,Africa
Tobi Amusan,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa
Favour Oghene Tejiri Ashe,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa
Ese Brume,Nigeria,Athletics and Para Athletics,Women's Long Jump,G,Africa
Rosemary Chukwuma,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa
Raymond Ekevwo,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa
Eucharia Njideka Iyiazi,Nigeria,Athletics and Para Athletics,Women's F55-57 Shot Put,G,Africa
Goodness Chiemerie Nwachukwu,Nigeria,Athletics and Para Athletics,Women's Discus Throw F42-44/61-64,G,Africa
Nzubechi Grace Nwokocha,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa
Favour Ofili,Nigeria,Athletics and Para Athletics,Women's 200m,S,Africa
Favour Ofili,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa
Seye Ogunlewe,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa
Udodi Chudi Onwuzurike,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa
Chioma Onyekwere,Nigeria,Athletics and Para Athletics,Women's Discus Throw,G,Africa
Joy Chinenye Udo Gabriel,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa
Cynthia Ogunsemilore,Nigeria,Boxing,Women’s Over 57kg-60kg (Lightweight),B,Africa
