Date,Team,Acquired,Relinquished,Notes
2017-04-04,Knicks,Carmelo Anthony,,activated from IL
2017-04-04,Mavericks,,Dirk Nowitzki,sore right Achilles (DTD)
2017-04-04,Mavericks,,Wes Matthews Jr.,rest (DTD)
2017-04-04,Nets,,Isaiah Whitehead,placed on IL with sprained left ankle
2017-04-04,Nets,Andrew Nicholson,,activated from IL
2017-04-04,Raptors,,Bruno Caboclo,placed on IL
2017-04-04,Raptors,P.J. Tucker,,activated from IL
2017-04-04,Spurs,LaMarcus Aldridge,,returned to lineup
2017-04-04,Warriors,Kevon Looney,,returned to lineup
2017-04-04,Blazers,Jusuf Nurkic,,activated from IL
2017-04-04,Blazers,,Jusuf Nurkic,fractured fibula in right leg (DTD)
2017-04-04,Cavaliers,,Larry Sanders ,placed on IL
2017-04-05,Cavaliers,,Tristan Thompson,placed on IL with sprained right thumb
2017-04-05,Cavaliers,Larry Sanders ,,activated from IL
2017-04-05,Celtics,Avery Bradley,,activated from IL
2017-04-05,Clippers,,Austin Rivers,placed on IL with strained left hamstring
2017-04-05,Clippers,Wes Johnson,,activated from IL
2017-04-05,Grizzlies,,Mike Conley Jr.,eye injury (DTD)
2017-04-05,Grizzlies,,Mike Conley Jr.,placed on IL with laceration above right eye
2017-04-05,Heat,,Luke Babbitt,strained right hip flexor (out for season)
2017-04-05,Knicks,,Derrick Rose,surgery on left knee to repair torn meniscus (out for season)
2017-04-05,Lakers,,D'Angelo Russell,placed on IL with sore left knee
2017-04-05,Lakers,Tarik Black,,activated from IL
2017-04-05,Mavericks,Dirk Nowitzki,,returned to lineup
2017-04-05,Mavericks,Wes Matthews Jr.,,returned to lineup
2017-04-05,Nuggets,,Malik Beasley,placed on IL
2017-04-05,Nuggets,Darrell Arthur,,activated from IL
2017-04-05,Nuggets,Jameer Nelson,,returned to lineup
2017-04-05,Pistons,,Michael Gbinije,placed on IL with illness
2017-04-05,Pistons,Reggie Bullock,,activated from IL
2017-04-05,Raptors,,Pascal Siakam,placed on IL
2017-04-05,Raptors,Kyle Lowry,,activated from IL
2017-04-05,Rockets,,Chinanu Onuaku,placed on IL
2017-04-05,Rockets,,Sam Dekker,placed on IL with fractured left hand
2017-04-05,Rockets,James Harden,,activated from IL
2017-04-05,Spurs,,Manu Ginobili,bruised right quadriceps (DTD)
2017-04-05,Suns,,Brandon Knight,placed on IL
2017-04-05,Suns,T.J. Warren,,activated from IL
2017-04-05,Thunder,,Alex Abrines,placed on IL with sprained knee
2017-04-05,Thunder,Kyle Singler,,activated from IL
2017-04-05,Warriors,,Andre Iguodala,rest (DTD)
2017-04-05,Warriors,,Draymond Green,rest (DTD)
2017-04-05,Celtics,Jordan Mickey,,activated from IL
2017-04-06,Blazers,,Jusuf Nurkic,placed on IL with fractured fibula in right leg
2017-04-06,Blazers,Tim Quarterman,,activated from IL
2017-04-06,Bulls,,Rajon Rondo,placed on IL with sprained right wrist
2017-04-06,Bulls,Cameron Payne,,activated from IL
2017-04-06,Hawks,,Kris Humphries,placed on IL
2017-04-06,Hawks,Malcolm Delaney,,activated from IL
2017-04-06,Knicks,,Chasson Randle,placed on IL with sprained left ankle
2017-04-06,Magic,,Evan Fournier,placed on IL with sore right wrist
2017-04-06,Nets,,Sean Kilpatrick,placed on IL with strained/tightness in left hamstring (out for season)
2017-04-06,Nets,Isaiah Whitehead,,activated from IL
2017-04-06,Nuggets,,Jameer Nelson,strained right calf (out for season)
2017-04-06,Pacers,Al Jefferson,,returned to lineup
2017-04-06,Pelicans,,DeMarcus Cousins,tendinitis in right Achilles (out for season)
2017-04-06,Wizards,,Markieff Morris,placed on IL with sore right ankle
2017-04-06,Wizards,Chris McCullough,,activated from IL
2017-04-06,Knicks,Kristaps Porzingis,,activated from IL
2017-04-06,Knicks,,Kristaps Porzingis,sore lower back (out for season)
2017-04-07,Grizzlies,,Jarell Martin,placed on IL
2017-04-07,Grizzlies,Mike Conley Jr.,,activated from IL
2017-04-07,Hawks,,Dennis Schroder,rest / foot injury (DTD)
2017-04-07,Hawks,,Dwight Howard,rest (DTD)
2017-04-07,Hawks,,Kent Bazemore,bone bruise in right knee (DTD)
2017-04-07,Hawks,,Paul Millsap,placed on IL with sore left knee
2017-04-07,Hawks,Kris Humphries,,activated from IL
2017-04-07,Jazz,,Raul Neto,placed on IL with strained right groin
2017-04-07,Jazz,Derrick Favors,,activated from IL
2017-04-07,Jazz,Rodney Hood,,returned to lineup
2017-04-07,Kings,,Garrett Temple,rest (DTD)
2017-04-07,Kings,,Kosta Koufos,rest (DTD)
2017-04-07,Kings,Anthony Tolliver,,returned to lineup
2017-04-07,Kings,Arron Afflalo,,returned to lineup
2017-04-07,Kings,Darren Collison,,returned to lineup
2017-04-07,Knicks,,Carmelo Anthony,sore left knee (DTD)
2017-04-07,Knicks,Chasson Randle,,activated from IL
2017-04-07,Lakers,,Luol Deng,placed on IL
2017-04-07,Lakers,D'Angelo Russell,,activated from IL
2017-04-07,Magic,Evan Fournier,,activated from IL
2017-04-07,Nuggets,,Jameer Nelson,placed on IL with strained right calf (out for season)
2017-04-07,Nuggets,Malik Beasley,,activated from IL
2017-04-07,Rockets,,Clint Capela,placed on IL
2017-04-07,Rockets,Chinanu Onuaku,,activated from IL
2017-04-07,Rockets,Ryan Anderson,,activated from IL
2017-04-07,Spurs,, Tony Parker,rest (DTD)
2017-04-07,Spurs,,Manu Ginobili,rest (DTD)
2017-04-07,Spurs,,Kawhi Leonard,rest (DTD)
2017-04-07,Spurs,,LaMarcus Aldridge,rest (DTD)
2017-04-07,Spurs,,Pau Gasol,rest (DTD)
2017-04-07,Suns,,Tyson Chandler,placed on IL
2017-04-07,Suns,Brandon Knight,,activated from IL
2017-04-07,Thunder,,Andre Roberson,sore left knee (DTD)
2017-04-08,Blazers,,Allen Crabbe,sore left foot (DTD)
2017-04-08,Bucks,,Malcolm Brogdon,placed on IL with sore back
2017-04-08,Bucks,Jabari Parker,,activated from IL
2017-04-08,Bulls,,Cameron Payne,placed on IL
2017-04-08,Bulls,Dwyane Wade,,activated from IL
2017-04-08,Celtics,,Amir Johnson,placed on IL with illness
2017-04-08,Celtics,,James Young,illness (DTD)
2017-04-08,Hornets,,Marco Belinelli,strained left index finger (out for season)
2017-04-08,Jazz,,Joel Bolomboy,placed on IL
2017-04-08,Jazz,Raul Neto,,activated from IL
2017-04-08,Magic,,Stephen Zimmerman Jr.,placed on IL
2017-04-08,Pacers,,Al Jefferson,sprained left ankle (out for season)
2017-04-08,Pelicans,,Anthony Davis,sore left knee (out for season)
2017-04-08,Pelicans,,E'Twaun Moore,sprained left ankle (out for season)
2017-04-08,Spurs, Tony Parker,,returned to lineup
2017-04-08,Spurs,Manu Ginobili,,returned to lineup
2017-04-08,Spurs,Kawhi Leonard,,returned to lineup
2017-04-08,Spurs,LaMarcus Aldridge,,returned to lineup
2017-04-08,Spurs,Pau Gasol,,returned to lineup
2017-04-08,Warriors,,Kevon Looney,placed on IL
2017-04-08,Warriors,,Stephen Curry,bruised left knee (DTD)
2017-04-08,Warriors,Kevin Durant,,activated from IL
2017-04-08,Wizards,,Otto Porter Jr.,placed on IL with sore back
2017-04-08,Wizards,,Sheldon Mac,placed on IL
2017-04-08,Wizards,Chris McCullough,,activated from IL
2017-04-08,Wizards,Markieff Morris,,activated from IL
2017-04-09,Grizzlies,,Zach Randolph,placed on IL for rest
2017-04-09,Grizzlies,Jarell Martin,,activated from IL
2017-04-09,Hawks,,Kris Humphries,neck spasms (DTD)
2017-04-09,Hawks,,Ryan Kelly,placed on IL
2017-04-09,Hawks,Dennis Schroder,,returned to lineup
2017-04-09,Hawks,Paul Millsap,,activated from IL
2017-04-09,Jazz,,Derrick Favors,sore left knee (DTD)
2017-04-09,Jazz,,Raul Neto,sprained left ankle (DTD)
2017-04-09,Jazz,,Rodney Hood,sore right knee (DTD)
2017-04-09,Kings,Garrett Temple,,returned to lineup
2017-04-09,Kings,Ty Lawson,,returned to lineup
2017-04-09,Knicks,,Kristaps Porzingis,placed on IL with sore lower back (out for season)
2017-04-09,Mavericks,,Harrison Barnes,rest (out for season)
2017-04-09,Mavericks,,Jose Barea ,rest (DTD)
2017-04-09,Nets,,Quincy Acy,sore left ankle (out for season)
2017-04-09,Nuggets,,Kenneth Faried,placed on IL with sore back
2017-04-09,Nuggets,Will Barton,,activated from IL
2017-04-09,Rockets,,Eric Gordon,rest (DTD)
2017-04-09,Rockets,,Nene Hilario ,rest / finger injury (DTD)
2017-04-09,Rockets,,Trevor Ariza,placed on IL for rest
2017-04-09,Rockets,Clint Capela,,activated from IL
2017-04-09,Thunder,,Doug McDermott,sore left knee (DTD)
2017-04-09,Thunder,Andre Roberson,,returned to lineup
2017-04-09,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)"
2017-04-10,Blazers,,C.J. McCollum,strained right hand (DTD)
2017-04-10,Blazers,,Damian Lillard,rest / right foot injury (DTD)
2017-04-10,Bucks,,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
2017-04-10,Bucks,,Spencer Hawes,placed on IL
2017-04-10,Bucks,John Henson,,activated from IL
2017-04-10,Bucks,Malcolm Brogdon,,activated from IL
2017-04-10,Cavaliers,,Kyrie Irving,rest (DTD)
2017-04-10,Cavaliers,,LeBron James,rest (DTD)
2017-04-10,Celtics,Amir Johnson,,activated from IL
2017-04-10,Celtics,James Young,,returned to lineup
2017-04-10,Hornets,,Kemba Walker,sore left knee (out for season)
2017-04-10,Hornets,,Marco Belinelli,placed on IL with strained left index finger (out for season)
2017-04-10,Hornets,Johnny O'Bryant III,,activated from IL
2017-04-10,Jazz,,Derrick Favors,placed on IL with sore left knee
2017-04-10,Jazz,,Gordon Hayward,bruised left quadricep (DTD)
2017-04-10,Jazz,,Raul Neto,placed on IL with sprained left / right ankle
2017-04-10,Jazz,George Hill,,activated from IL
2017-04-10,Jazz,Joel Bolomboy,,activated from IL
2017-04-10,Nuggets,,Emmanuel Mudiay,sore/sprained right ankle (out for season)
2017-04-10,Pistons,,Beno Udrih,placed on IL with sprained right knee
2017-04-10,Pistons,Michael Gbinije,,activated from IL
2017-04-10,Rockets,,Patrick Beverley,shoulder injury (DTD)
2017-04-10,Rockets,Trevor Ariza,,activated from IL
2017-04-10,Spurs,,Joel Anthony,placed on IL
2017-04-10,Spurs,Danny Green,,activated from IL
2017-04-10,Warriors,,Kevon Looney,strained left hip (out for season)
2017-04-10,Warriors,,Klay Thompson,rest (DTD)
2017-04-10,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)"
2017-04-10,Warriors,Stephen Curry,,returned to lineup
2017-04-10,Wizards,,John Wall ,rest / quadriceps injury (DTD)
2017-04-10,Celtics,,Jordan Mickey,placed on IL
2017-04-10,Heat,Josh McRoberts,,activated from IL
2017-04-10,Cavaliers,Kay Felder,,activated from IL
2017-04-10,Heat,,Josh McRoberts,stress fracture in left foot (out for season)
2017-04-10,Rockets,,Kyle Wiltjer,placed on IL
2017-04-11,Hawks,,DeAndre Bembry,placed on IL
2017-04-11,Hawks,Kris Humphries,,returned to lineup
2017-04-11,Hawks,Thabo Sefolosha,,activated from IL
2017-04-11,Kings,,Arron Afflalo,DNP
2017-04-11,Kings,,Darren Collison,placed on IL with rest / migraine headache
2017-04-11,Kings,,Kosta Koufos,DNP
2017-04-11,Kings,,Tyreke Evans,DNP
2017-04-11,Lakers,Luol Deng,,activated from IL
2017-04-11,Mavericks,,Wes Matthews Jr.,rest (out for season)
2017-04-11,Mavericks,Jose Barea ,,returned to lineup
2017-04-11,Nuggets,,Danilo Gallinari,placed on IL for rest
2017-04-11,Nuggets,,Will Barton,rest (DTD)
2017-04-11,Nuggets,Darrell Arthur,,returned to lineup
2017-04-11,Pelicans,,Omer Asik,placed on IL with illness (out for season)
2017-04-11,Suns,,Devin Booker,DNP
2017-04-11,Thunder,,Doug McDermott,placed on IL with sore left knee
2017-04-11,Thunder,,Russell Westbrook,rest (DTD)
2017-04-11,Thunder,,Taj Gibson,rest (DTD)
2017-04-11,Thunder,Alex Abrines,,activated from IL
2017-04-11,Nuggets,Kenneth Faried,,activated from IL
2017-04-11,Nuggets,,Kenneth Faried,lower back injury (out for season)
2017-04-12,76ers,,Dario Saric,sore left heel (out for season)
2017-04-12,Blazers,,Al-Farouq Aminu,rest (DTD)
2017-04-12,Blazers,,C.J. McCollum,rest (DTD)
2017-04-12,Blazers,,Damian Lillard,rest (DTD)
2017-04-12,Bucks,,Giannis Antetokounmpo,rest (DTD)
2017-04-12,Bucks,,Khris Middleton,placed on IL
2017-04-12,Bucks,,Matthew Dellavedova,rest (DTD)
2017-04-12,Bucks,,Tony Snell,rest (DTD)
2017-04-12,Bucks,Spencer Hawes,,activated from IL
2017-04-12,Bulls,,Isaiah Canaan,placed on IL
2017-04-12,Bulls,Rajon Rondo,,activated from IL
2017-04-12,Cavaliers,,Kay Felder,placed on IL
2017-04-12,Cavaliers,,Kevin Love,rest (DTD)
2017-04-12,Cavaliers,,LeBron James,placed on IL for rest
2017-04-12,Cavaliers,Tristan Thompson,,activated from IL
2017-04-12,Grizzlies,,James Ennis,placed on IL with right knee injury (out for season)
2017-04-12,Grizzlies,Zach Randolph,,activated from IL
2017-04-12,Hawks,,Dennis Schroder,rest (DTD)
2017-04-12,Hawks,,Dwight Howard,rest (DTD)
2017-04-12,Hawks,,Kent Bazemore,placed on IL
2017-04-12,Hawks,,Paul Millsap,placed on IL for rest
2017-04-12,Hawks,,Tim Hardaway Jr.,rest (DTD)
2017-04-12,Hawks,DeAndre Bembry,,activated from IL
2017-04-12,Hawks,Ryan Kelly,,activated from IL
2017-04-12,Jazz,,Joel Bolomboy,placed on IL
2017-04-12,Jazz,Derrick Favors,,activated from IL
2017-04-12,Jazz,Gordon Hayward,,returned to lineup
2017-04-12,Jazz,Rodney Hood,,returned to lineup
2017-04-12,Kings,,Anthony Tolliver,placed on IL for rest (out for season)
2017-04-12,Kings,,Kosta Koufos,rest (DTD)
2017-04-12,Kings,,Ty Lawson,rest (out for season)
2017-04-12,Kings,,Tyreke Evans,rest / toe injury (out for season)
2017-04-12,Kings,Arron Afflalo,,returned to lineup
2017-04-12,Knicks,Carmelo Anthony,,returned to lineup
2017-04-12,Magic,,C.J. Watson,placed on IL
2017-04-12,Magic,Jeff Green,,activated from IL
2017-04-12,Magic,Stephen Zimmerman Jr.,,activated from IL
2017-04-12,Mavericks,,Dirk Nowitzki,rest (out for season)
2017-04-12,Mavericks,,Jose Barea ,placed on IL (out for season)
2017-04-12,Nets,,Brook Lopez,rest (DTD)
2017-04-12,Nets,,Jeremy Lin,rest (out for season)
2017-04-12,Nets,,Trevor Booker,rest (out for season)
2017-04-12,Nuggets,,Emmanuel Mudiay,placed on IL with sore/sprained right ankle (out for season)
2017-04-12,Nuggets,,Gary Harris,sore right knee (out for season)
2017-04-12,Nuggets,,Will Barton,DNP
2017-04-12,Nuggets,,Wilson Chandler,DNP
2017-04-12,Pistons,,Michael Gbinije,placed on IL with illness (out for season)
2017-04-12,Raptors,,DeMar DeRozan,placed on IL for rest / flu (out for season)
2017-04-12,Raptors,,Serge Ibaka,placed on IL
2017-04-12,Rockets,,Chinanu Onuaku,placed on IL
2017-04-12,Rockets,Kyle Wiltjer,,activated from IL
2017-04-12,Rockets,Nene Hilario ,,returned to lineup
2017-04-12,Rockets,Patrick Beverley,,returned to lineup
2017-04-12,Spurs,,Bryn Forbes,placed on IL
2017-04-12,Spurs,Dejounte Murray,,activated from IL
2017-04-12,Thunder,,Andre Roberson,placed on IL
2017-04-12,Thunder,Josh Huestis,,activated from IL
2017-04-12,Timberwolves,,Ricky Rubio,DNP (out for season)
2017-04-12,Warriors,,Matt Barnes,"placed on IL with sprained right ankle, foot"
2017-04-12,Warriors,Damian Jones,,activated from IL
2017-04-12,Warriors,Klay Thompson,,returned to lineup
2017-04-12,Wizards,,Bradley Beal,placed on IL for rest
2017-04-12,Wizards,,Ian Mahinmi,placed on IL for strained left calf
2017-04-12,Wizards,,Markieff Morris,rest (DTD)
2017-04-12,Wizards,Otto Porter Jr.,,activated from IL
2017-04-12,Wizards,Sheldon Mac,,activated from IL
2017-04-12,Kings,Darren Collison,,activated from IL
2017-04-12,Pistons,Beno Udrih,,activated from IL
2017-04-12,Wizards,John Wall ,,activated from IL
2017-04-12,Kings,,Darren Collison,rest (out for season)
2017-04-12,Pistons,,Beno Udrih,knee injury (out for season)
2017-04-12,Raptors,Bruno Caboclo,,activated from IL
2017-04-12,Raptors,Pascal Siakam,,activated from IL
2017-04-12,Wizards,,John Wall ,rest (DTD)
2017-04-13,Grizzlies,,Tony Allen,strained right calf (out for season)
2017-04-14,Wizards,,Sheldon Mac,strained calf (DTD)
2017-04-15,Bucks,,Gary Payton II,placed on IL
2017-04-15,Bucks,,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
2017-04-15,Bucks,,Matthew Dellavedova,returned to lineup
2017-04-15,Bucks,Giannis Antetokounmpo,,returned to lineup
2017-04-15,Bucks,Khris Middleton,,activated from IL
2017-04-15,Bucks,Tony Snell,,returned to lineup
2017-04-15,Cavaliers,,Kay Felder,placed on IL
2017-04-15,Cavaliers,,Edy Tavares,placed on IL
2017-04-15,Cavaliers,Kevin Love,,returned to lineup
2017-04-15,Cavaliers,Kyrie Irving,,returned to lineup
2017-04-15,Clippers,,Austin Rivers,placed on IL with strained left hamstring
2017-04-15,Clippers,,Diamond Stone,placed on IL
2017-04-15,Grizzlies,,Tony Allen,placed on IL with strained right calf muscle (out for season)
2017-04-15,Jazz,,Joel Bolomboy,placed on IL
2017-04-15,Jazz,,Raul Neto,placed on IL
2017-04-15,Pacers,,Georges Niang,placed on IL
2017-04-15,Pacers,,Glenn Robinson III,placed on IL with strained left calf (out for season)
2017-04-15,Raptors,,Bruno Caboclo,placed on IL
2017-04-15,Raptors,,Pascal Siakam,placed on IL
2017-04-15,Spurs,,Dejounte Murray,placed on IL
2017-04-15,Spurs,,Joel Anthony,placed on IL
2017-04-16,Blazers,,Tim Quarterman,concussion (DTD)
2017-04-16,Blazers,Al-Farouq Aminu,,returned to lineup
2017-04-16,Blazers,Allen Crabbe,,returned to lineup
2017-04-16,Blazers,C.J. McCollum,,returned to lineup
2017-04-16,Blazers,Damian Lillard,,returned to lineup
2017-04-16,Bulls,,Cameron Payne,placed on IL
2017-04-16,Bulls,,Isaiah Canaan,placed on IL
2017-04-16,Celtics,,Demetrius Jackson,placed on IL
2017-04-16,Celtics,,Jordan Mickey,placed on IL
2017-04-16,Hawks,,DeAndre Bembry,placed on IL
2017-04-16,Hawks,,Ryan Kelly,placed on IL
2017-04-16,Hawks,Dennis Schroder,,returned to lineup
2017-04-16,Rockets,,Chinanu Onuaku,placed on IL
2017-04-16,Rockets,,Isaiah Taylor,placed on IL
2017-04-16,Rockets,,Kyle Wiltjer,placed on IL
2017-04-16,Thunder,,Josh Huestis,placed on IL
2017-04-16,Thunder,,Kyle Singler,placed on IL
2017-04-16,Thunder,Doug McDermott,,activated from IL
2017-04-16,Warriors,,Kevon Looney,placed on IL with strained left hip (out for season)
2017-04-16,Warriors,,Matt Barnes,placed on IL with sprained right ankle
2017-04-16,Wizards,,Chris McCullough,placed on IL (out for season)
2017-04-16,Wizards,Bradley Beal,,activated from IL
2017-04-16,Wizards,John Wall ,,returned to lineup
2017-04-16,Wizards,Markieff Morris,,returned to lineup
2017-04-16,Wizards,Sheldon Mac,,returned to lineup
2017-04-17,Jazz,,Rudy Gobert,hyperextended left knee (DTD)
2017-04-17,Pacers,,Joe Young,placed on IL
2017-04-18,Jazz,,Alec Burks,placed on IL with sore left knee (out for season)
2017-04-18,Jazz,,Rudy Gobert,placed on IL with hyperextended left knee
2017-04-18,Jazz,Joel Bolomboy,,activated from IL
2017-04-18,Jazz,Raul Neto,,activated from IL
2017-04-19,Blazers,Tim Quarterman,,returned to lineup
2017-04-19,Thunder,,Norris Cole ,placed on IL
2017-04-19,Thunder,Kyle Singler,,activated from IL
2017-04-19,Warriors,,Kevin Durant,strained left calf (DTD)
2017-04-19,Warriors,,Shaun Livingston,sprained right index finger (DTD)
2017-04-20,Spurs,,Bryn Forbes,placed on IL
2017-04-20,Spurs,Dejounte Murray,,activated from IL
2017-04-21,Bulls,,Rajon Rondo,placed on IL with fractured right thumb (out for season)
2017-04-21,Bulls,Cameron Payne,,activated from IL
2017-04-21,Thunder,,Semaj Christon,placed on IL
2017-04-21,Thunder,Norris Cole ,,activated from IL
2017-04-22,Blazers,Jusuf Nurkic,,activated from IL
2017-04-22,Clippers,,Blake Griffin,right big toe injury (out for season)
2017-04-22,Grizzlies,James Ennis,,activated from IL
2017-04-22,Lakers,,Timofey Mozgov,sore ankle (DTD)
2017-04-22,Spurs,,Dewayne Dedmon,placed on IL with illness
2017-04-22,Spurs,Joel Anthony,,activated from IL
2017-04-22,Warriors,,Steve Kerr,head coach illness (DTD)
2017-04-23,Bulls,,Cameron Payne,placed on IL
2017-04-23,Bulls,Isaiah Canaan,,activated from IL
2017-04-23,Clippers,,Blake Griffin,placed on IL with right big toe injury (out for season)
2017-04-23,Clippers,Diamond Stone,,activated from IL
2017-04-23,Jazz,,Gordon Hayward,food poisoning (DTD)
2017-04-23,Jazz,,Jeff Withey,placed on IL
2017-04-23,Jazz,Rudy Gobert,,activated from IL
2017-04-24,Blazers,,Jusuf Nurkic,fractured fibula in right leg (out for season)
2017-04-24,Jazz,Gordon Hayward,,returned to lineup
2017-04-24,Warriors,,Steve Kerr,head coach illness (DTD)
2017-04-24,Warriors,Kevin Durant,,returned to lineup
2017-04-25,Clippers,,Diamond Stone,placed on IL (out for season)
2017-04-25,Clippers,Austin Rivers,,activated from IL
2017-04-25,Spurs,,Joel Anthony,placed on IL
2017-04-25,Spurs,Dewayne Dedmon,,activated from IL
2017-04-27,Knicks,,Joakim Noah,surgery on right shoulder to repair torn rotator cuff (out indefinitely)
2017-04-27,Nuggets,,Jamal Murray,surgery to repair core muscle related injuries (out indefinitely)
2017-04-28,Jazz,,Joel Bolomboy,placed on IL
2017-04-28,Jazz,Jeff Withey,,activated from IL
2017-05-01,Clippers,,Blake Griffin,surgery on right big toe (out for season)
2017-05-01,Raptors,,Lucas Nogueira,placed on IL
2017-05-01,Raptors,Pascal Siakam,,activated from IL
2017-05-01,Rockets,Kyle Wiltjer,,activated from IL
2017-05-01,Rockets,Sam Dekker,,activated from IL
2017-05-02,Jazz,,Jeff Withey,placed on IL
2017-05-02,Jazz,Joel Bolomboy,,activated from IL
2017-05-02,Warriors,,Damian Jones,placed on IL
2017-05-02,Warriors,,Steve Kerr,head coach illness (DTD)
2017-05-02,Warriors,Matt Barnes,,activated from IL
2017-05-02,Warriors,Shaun Livingston,,returned to lineup
2017-05-03,Lakers,,Luol Deng,surgery on right pectoral muscle (out indefinitely)
2017-05-04,Jazz,,George Hill,placed on IL with sore left big toe (out for season)
2017-05-04,Jazz,Jeff Withey,,activated from IL
2017-05-04,Spurs,, Tony Parker,ruptured quadriceps tendon in left leg (out for season)
2017-05-04,Warriors,,Steve Kerr,head coach illness (DTD)
2017-05-04,Wizards,,Daniel Ochefu,placed on IL
2017-05-04,Wizards,Ian Mahinmi,,activated from IL
2017-05-05,Raptors,,Kyle Lowry,sprained left ankle (DTD)
2017-05-05,Raptors,,Lucas Nogueira,placed on IL
2017-05-05,Raptors,Pascal Siakam,,activated from IL
2017-05-05,Rockets,Kyle Wiltjer,,activated from IL
2017-05-05,Spurs,, Tony Parker,placed on IL recovering from surgery to repair ruptured quadriceps tendon in left leg (out for season)
2017-05-05,Spurs,Bryn Forbes,,activated from IL
2017-05-06,Warriors,,Steve Kerr,head coach illness (DTD)
2017-05-07,Raptors,,Kyle Lowry,placed on IL with sprained left ankle
2017-05-07,Raptors,Kyle Lowry,,activated from IL
2017-05-07,Raptors,Lucas Nogueira,,activated from IL
2017-05-08,Rockets,,Nene Hilario ,torn left adductor muscle (out for season)
2017-05-09,Rockets,,Isaiah Taylor,placed on IL
2017-05-09,Rockets,,Nene Hilario ,placed on IL with torn left adductor muscle (out for season)
2017-05-09,Rockets,Chinanu Onuaku,,activated from IL
2017-05-09,Rockets,Kyle Wiltjer,,activated from IL
2017-05-11,Rockets,,Kyle Wiltjer,placed on IL (out for season)
2017-05-11,Rockets,Isaiah Taylor,,activated from IL
2017-05-11,Spurs,,Kawhi Leonard,placed on IL with sprained left ankle
2017-05-11,Spurs,Joel Anthony,,activated from IL
2017-05-13,Cavaliers,,Edy Tavares,fractured right hand (out for season)
2017-05-14,Warriors,,Andre Iguodala,sore left knee (DTD)
2017-05-14,Spurs,Kawhi Leonard,,activated from IL
2017-05-14,Spurs,,Kawhi Leonard,sprained left ankle (DTD)
2017-05-16,Spurs,,Kawhi Leonard,placed on IL with sprained left ankle
2017-05-16,Spurs,Joel Anthony,,activated from IL
2017-05-16,Warriors,,Andre Iguodala,placed on IL with sore left knee
2017-05-16,Warriors,Damian Jones,,activated from IL
2017-05-17,Bulls,,Denzel Valentine,arthroscopic surgery on left ankle (out indefinitely)
2017-05-17,Hornets,,Kemba Walker,arthroscopic surgery on left knee (out indefinitely)
2017-05-17,Warriors,,Zaza Pachulia,bruised right heel
2017-05-19,Celtics,,James Young,placed on IL
2017-05-19,Celtics,Jordan Mickey,,activated from IL
2017-05-20,Celtics,,Isaiah Thomas,hip injury (out for season)
2017-05-20,Warriors,,Zaza Pachulia,placed on IL with bruised right heel
2017-05-20,Warriors,Andre Iguodala,,activated from IL
2017-05-21,Celtics,,Isaiah Thomas,placed on IL with hip injury (out for season)
2017-05-21,Celtics,James Young,,activated from IL
2017-05-21,Spurs,,David Lee,torn patellar tendon in left knee (out for season)
2017-05-22,Spurs,,David Lee,placed on IL with torn patellar tendon in left knee (out for season)
2017-05-22,Spurs,Kawhi Leonard,,activated from IL
2017-05-22,Spurs,,Kawhi Leonard,sprained left ankle (out for season)
2017-05-23,Celtics,,Amir Johnson,sprained right shoulder (out for season)
2017-05-24,Clippers,,Luc Mbah a Moute,player declined contract option
2017-06-01,Warriors,,Damian Jones,placed on IL
2017-06-01,Warriors,Zaza Pachulia,,activated from IL
2017-06-28,Suns,,Jared Dudley,surgery to repair ligament and bone (out indefinitely)
2017-07-04,Timberwolves,,Justin Patton,surgery on left foot to repair fracture (out indefinitely)
2017-07-25,Suns,,Brandon Knight,torn ACL in left knee (out for season)
2017-07-30,Clippers,,Danilo Gallinari,fractured bone in right hand (out indefinitely)
2017-08-08,Grizzlies,,Ben McLemore,surgery on right foot to repair fracture (out indefinitely)
2017-08-10,Thunder,,Patrick Patterson,arthroscopic surgery on his left knee (out indefinitely)
2017-08-28,Pelicans,,Solomon Hill,surgery to repair torn left hamstring (out indefinitely)
2017-09-01,Pelicans,,Frank Jackson,fractured right foot (out for season)
2017-09-06,Bulls,,Cameron Payne,surgery to repair fractured right foot (out indefinitely)
2017-09-13,Hawks,,DeAndre Bembry,strained right triceps (out indefinitely)
2017-09-18,Raptors,,O.G. Anunoby,torn ACL in knee (out indefinitely)
2017-09-22,Wizards,,Markieff Morris,surgery to repair sports hernia (out indefinitely)
2017-09-25,Suns,,Alan Williams,surgery on right knee to repair torn meniscus (out indefinitely)
2017-09-26,Cavaliers,,Isaiah Thomas,right hip impingement (DTD)
2017-09-30,Pacers,,Glenn Robinson III,high ankle sprain (DTD)
2017-09-30,Spurs,,Kawhi Leonard,sore right quadriceps (out indefinitely)
2017-10-05,Blazers,,Noah Vonleh,strained right shoulder (DTD)
2017-10-05,Hornets,,Nicolas Batum,torn ligament in left elbow (out indefinitely)
2017-10-06,Kings,,Harry Giles,recovering from surgery / rehab of knees
2017-10-07,Bulls,,Kris Dunn,dislocated left index finger (out indefinitely)
