Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Lieutenant,Jeffrey Shannon Bain,COVID19,"Sunday, January 3, 2021",2021,January,Sunday,"DeKalb County Sheriff's Office, AL",Alabama,0
Deputy Sheriff,Nicholas Alexander Howell,COVID19,"Sunday, January 3, 2021",2021,January,Sunday,"Henry County Sheriff's Office, GA",Georgia,0
Sergeant,Randall Lewis Sims,COVID19,"Sunday, January 3, 2021",2021,January,Sunday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Special Deputy Marshal,Havonia Denise Holley,COVID19,"Tuesday, January 5, 2021",2021,January,Tuesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Deputy Sheriff,Jonathan David Price,Automobile crash,"Wednesday, January 6, 2021",2021,January,Wednesday,"Marion County Sheriff's Office, SC",South Carolina,0
Police Officer,Jaymes Robert Hughes,Heart attack,"Wednesday, January 6, 2021",2021,January,Wednesday,"Kalispel Tribal Police Department, TR",United States,0
Police Officer,Brian David Sicknick,Duty related illness,"Thursday, January 7, 2021",2021,January,Thursday,"United States Capitol Police, US",United States,0
Sergeant,David George Crumpler,COVID19,"Thursday, January 7, 2021",2021,January,Thursday,"Henry County Police Department, GA",Georgia,0
First Sergeant,Timothy Lee Howell,COVID19,"Thursday, January 7, 2021",2021,January,Thursday,"North Carolina Highway Patrol, NC",North Carolina,0
Lieutenant,William Lyle Gardner,COVID19,"Thursday, January 7, 2021",2021,January,Thursday,"Denver City Police Department, TX",Texas,0
Conservation Officer,Steven Reighard,COVID19,"Friday, January 8, 2021",2021,January,Friday,"Iowa Department of Natural Resources, IA",Iowa,0
Police Officer,Reginald Cooley,9/11 related illness,"Saturday, January 9, 2021",2021,January,Saturday,"New York City Police Department, NY",New York,0
Sergeant,Peter C. Woods,9/11 related illness,"Saturday, January 9, 2021",2021,January,Saturday,"New York City Police Department, NY",New York,0
Police Officer,"Arturo Villegas, Sr.",COVID19,"Sunday, January 10, 2021",2021,January,Sunday,"Alamo Police Department, GA",Georgia,0
Police Officer,Lyndon Tyler Britt,COVID19,"Monday, January 11, 2021",2021,January,Monday,"Chandler Police Department, AZ",Arizona,0
Sergeant,Brian Roy LaVigne,Vehicular assault,"Monday, January 11, 2021",2021,January,Monday,"Hillsborough County Sheriff's Office, FL",Florida,0
Agent,Luis Angel Marrero-Díaz,Gunfire,"Monday, January 11, 2021",2021,January,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Agent,Luis Xavier Salamán-Conde,Gunfire,"Monday, January 11, 2021",2021,January,Monday,"Carolina Municipal Police Department, PR",Puerto Rico,0
Agent,Eliezer Hernández-Cartagena,Vehicular assault,"Monday, January 11, 2021",2021,January,Monday,"Carolina Municipal Police Department, PR",Puerto Rico,0
Detective,Camerino Santiago,COVID19,"Monday, January 11, 2021",2021,January,Monday,"El Paso Police Department, TX",Texas,0
Police Officer,Melton Levi Fox Gore,Struck by vehicle,"Tuesday, January 12, 2021",2021,January,Tuesday,"Horry County Police Department, SC",South Carolina,0
Sergeant,"Frederick Henry Butch Cameron, Jr.",COVID19,"Tuesday, January 12, 2021",2021,January,Tuesday,"Fairfax County Sheriff's Office, VA",Virginia,0
Sergeant,Amelia Theresa Terry Martinez,COVID19,"Wednesday, January 13, 2021",2021,January,Wednesday,"Los Angeles Police Department, CA",California,0
Detective Sergeant,Stephen R. Desfosses,COVID19,"Wednesday, January 13, 2021",2021,January,Wednesday,"Norton Police Department, MA",Massachusetts,0
Police Officer,Hector Moya,COVID19,"Wednesday, January 13, 2021",2021,January,Wednesday,"Newark Police Department, NJ",New Jersey,0
Chief of Police,Tony Monroe Jordan,COVID19,"Wednesday, January 13, 2021",2021,January,Wednesday,"Middleburg Borough Police Department, PA",Pennsylvania,0
Investigator,"Richard Anthony Sepolio, Sr.",COVID19,"Wednesday, January 13, 2021",2021,January,Wednesday,"Harris County District Attorney's Office, TX",Texas,0
Police Officer,Joseph Henry Montgomery,Motorcycle crash,"Thursday, January 14, 2021",2021,January,Thursday,"Arizona State University Police Department, AZ",Arizona,0
Corporal,Christine Lynn Peters,Struck by vehicle,"Thursday, January 14, 2021",2021,January,Thursday,"Greenbelt Police Department, MD",Maryland,0
Constable,Sherry Kay Langford,COVID19,"Thursday, January 14, 2021",2021,January,Thursday,"Henderson County Constable's Office - Precinct 1, TX",Texas,0
Senior Corrections Officer,Edward Chavez Jamandron,COVID19,"Friday, January 15, 2021",2021,January,Friday,"New Jersey Department of Corrections, NJ",New Jersey,0
Lieutenant,Treva T. Preston,COVID19,"Friday, January 15, 2021",2021,January,Friday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corrections Officer IV,"Alfred Jimenez, Jr.",COVID19,"Friday, January 15, 2021",2021,January,Friday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corporal,"Juvencio Garcia, Jr.",COVID19,"Friday, January 15, 2021",2021,January,Friday,"Rio Grande City Consolidated Independent School District Police Department, TX",Texas,0
Police Officer,Jerry Steven Hemphill,COVID19,"Saturday, January 16, 2021",2021,January,Saturday,"Lanier Technical College Police Department, GA",Georgia,0
Sergeant,"Edward John Marcurella, Jr.",COVID19,"Saturday, January 16, 2021",2021,January,Saturday,"Colleton County Sheriff's Office, SC",South Carolina,0
Lieutenant,John Edward Reynolds,COVID19,"Sunday, January 17, 2021",2021,January,Sunday,"Garden Grove Police Department, CA",California,0
Corrections Officer,Joseph Andrew Martini,COVID19,"Sunday, January 17, 2021",2021,January,Sunday,"Ulster County Sheriff's Office, NY",New York,0
Deputy Sheriff,Adam Samuel Gibson,Gunfire,"Monday, January 18, 2021",2021,January,Monday,"Sacramento County Sheriff's Department, CA",California,0
Corrections Deputy II,Ralph Edward Serrano,COVID19,"Monday, January 18, 2021",2021,January,Monday,"San Diego County Probation Department, CA",California,0
Court,Bailiff Gerald Bear Smith,COVID19,"Monday, January 18, 2021",2021,January,Monday,"Pahrump Justice Court, NV",Nevada,0
Police Officer,Brandon Michael Stalker,Gunfire,"Monday, January 18, 2021",2021,January,Monday,"Toledo Police Department, OH",Ohio,0
Warrants Officer,Toby Jay Keiser,COVID19,"Monday, January 18, 2021",2021,January,Monday,"Knox County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,"Jacinto R. Navarro, Jr.",COVID19,"Tuesday, January 19, 2021",2021,January,Tuesday,"Palm Beach County Sheriff's Office, FL",Florida,0
Officer,Byron Don Shields,COVID19,"Wednesday, January 20, 2021",2021,January,Wednesday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Lieutenant,Robert John Van Zeyl,COVID19,"Wednesday, January 20, 2021",2021,January,Wednesday,"Suffolk County Police Department, NY",New York,0
Lieutenant,Frank Arnold,COVID19,"Friday, January 22, 2021",2021,January,Friday,"California Department of Developmental Services - Office of Protective Services, CA",California,0
Detective,"Brian K. McAdams, Sr.",COVID19,"Friday, January 22, 2021",2021,January,Friday,"Newark Police Department, NJ",New Jersey,0
Special Agent,Wayne Douglas Snyder,COVID19,"Saturday, January 23, 2021",2021,January,Saturday,"Georgia Department of Corrections, GA",Georgia,0
Lieutenant,Juan Rafael Rivera-Padua,COVID19,"Saturday, January 23, 2021",2021,January,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Special Deputy Marshal,Craig Alan Kriner,COVID19,"Saturday, January 23, 2021",2021,January,Saturday,"United States Department of Justice - United States Marshals Service, US",United States,0
Captain,Michael D'Angelo Garigan,COVID19,"Sunday, January 24, 2021",2021,January,Sunday,"Gordon County Sheriff's Office, GA",Georgia,0
Sergeant,Charles F. Dotson,COVID19,"Sunday, January 24, 2021",2021,January,Sunday,"Baton Rouge Police Department, LA",Louisiana,0
Lieutenant,Hasain El-Amin,COVID19,"Monday, January 25, 2021",2021,January,Monday,"Arkansas State Hospital Department of Public Safety, AR",Arkansas,0
Police Officer,Philip Taclas Sudario,COVID19,"Monday, January 25, 2021",2021,January,Monday,"Los Angeles Police Department, CA",California,0
Deputy Sheriff II,"Frank Gonzalez Holguin, III",COVID19,"Wednesday, January 27, 2021",2021,January,Wednesday,"Tulare County Sheriff's Office, CA",California,0
Auxiliary Sergeant,Louis Michael Livatino,COVID19,"Wednesday, January 27, 2021",2021,January,Wednesday,"Jacksonville Sheriff's Office, FL",Florida,0
Correctional Officer,John Michael Bowe,COVID19,"Wednesday, January 27, 2021",2021,January,Wednesday,"Missouri Department of Corrections, MO",Missouri,0
Sergeant,Patricia Elena Guillen,COVID19,"Thursday, January 28, 2021",2021,January,Thursday,"Los Angeles Police Department, CA",California,0
Sergeant,Tommy W. Cudd,COVID19,"Thursday, January 28, 2021",2021,January,Thursday,"Union County Sheriff's Office, SC",South Carolina,0
Director of Field,Field Operations Beverly Matthews-Good,COVID19,"Thursday, January 28, 2021",2021,January,Thursday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Sergeant,Jeffery Robert Smith,COVID19,"Friday, January 29, 2021",2021,January,Friday,"Berry College Police Department, GA",Georgia,0
Lieutenant,David Eason,COVID19,"Saturday, January 30, 2021",2021,January,Saturday,"Georgia Department of Corrections, GA",Georgia,0
Special Agent,"Robert Allan Mayer, Jr.",COVID19,"Saturday, January 30, 2021",2021,January,Saturday,"United States Department of Homeland Security - Customs and Border Protection - Office of Professional Responsibility, US",United States,0
Sergeant,William Brautigam,9/11 related illness,"Sunday, January 31, 2021",2021,January,Sunday,"New York City Police Department, NY",New York,0
Detention Officer,Julio Cesar Martinez,COVID19,"Sunday, January 31, 2021",2021,January,Sunday,"Ellis County Sheriff's Office, TX",Texas,0
Special Agent,Jimmie John Daniels,Training accident,"Monday, February 1, 2021",2021,February,Monday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Correctional Officer,Juan F. Llanes,COVID19,"Monday, February 1, 2021",2021,February,Monday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Sergeant,Grace A. Bellamy,COVID19,"Monday, February 1, 2021",2021,February,Monday,"Georgia Department of Corrections, GA",Georgia,0
Lieutenant,"Michael Anthony Boutte, Sr.",Gunfire,"Monday, February 1, 2021",2021,February,Monday,"Hancock County Sheriff's Office, MS",Mississippi,0
Police Officer,"Joseph Anthony Cisneros, Jr.",COVID19,"Monday, February 1, 2021",2021,February,Monday,"San Antonio Police Department, TX",Texas,0
Special Agent,Laura Ann Schwartzenberger,Gunfire,"Tuesday, February 2, 2021",2021,February,Tuesday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Special Agent,Daniel I. Alfin,Gunfire,"Tuesday, February 2, 2021",2021,February,Tuesday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Detention Officer,Robert Perez,COVID19,"Tuesday, February 2, 2021",2021,February,Tuesday,"Harris County Sheriff's Office, TX",Texas,0
Deputy Sheriff,Jack Edward Gwynes,COVID19,"Wednesday, February 3, 2021",2021,February,Wednesday,"Nassau County Sheriff's Office, FL",Florida,0
Agent,Juan Francisco Rosado-López,COVID19,"Wednesday, February 3, 2021",2021,February,Wednesday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,Darian Rey Jarrott,Gunfire,"Thursday, February 4, 2021",2021,February,Thursday,"New Mexico State Police, NM",New Mexico,0
Detective,"Charlie W. Mackie, Sr.",9/11 related illness,"Thursday, February 4, 2021",2021,February,Thursday,"New York City Police Department, NY",New York,0
Correctional Lieutenant III,Anthony Lynn Hardie,COVID19,"Saturday, February 6, 2021",2021,February,Saturday,"North Carolina Department of Public Safety - Division of Adult Correction and Juvenile Justice, NC",North Carolina,0
Detective,Pedro Junior Pete Mejia,COVID19,"Saturday, February 6, 2021",2021,February,Saturday,"Pasadena Police Department, TX",Texas,0
Officer,Cesar Dangaran Sibonga,COVID19,"Sunday, February 7, 2021",2021,February,Sunday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Police Officer,Terence P. Connelly,9/11 related illness,"Monday, February 8, 2021",2021,February,Monday,"New York City Police Department, NY",New York,0
Trooper,Monty Ray Mitchell,Heart attack,"Monday, February 8, 2021",2021,February,Monday,"Pennsylvania State Police, PA",Pennsylvania,0
Special Deputy Marshal,"Vincent Andrew Gala, Jr.",COVID19,"Monday, February 8, 2021",2021,February,Monday,"United States Department of Justice - United States Marshals Service, US",United States,0
Deputy Sheriff,Ross William Dixon,COVID19,"Tuesday, February 9, 2021",2021,February,Tuesday,"Cambria County Sheriff's Office, PA",Pennsylvania,0
Officer,Richard Larry Odum,COVID19,"Wednesday, February 10, 2021",2021,February,Wednesday,"Georgia Public Safety Training Center, GA",Georgia,0
Supervisory Special Agent,Thomas James Mohnal,9/11 related illness,"Wednesday, February 10, 2021",2021,February,Wednesday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Corrections Officer IV,Vickie V. James,COVID19,"Wednesday, February 10, 2021",2021,February,Wednesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Investigator,"Eddie B. Hutchison, III",COVID19,"Wednesday, February 10, 2021",2021,February,Wednesday,"Walker County Criminal District Attorney's Office, TX",Texas,0
Special Deputy Marshal,Hugh Boyd Bennett,COVID19,"Wednesday, February 10, 2021",2021,February,Wednesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Chief of Police,Timothy John Sheehan,Heart attack,"Thursday, February 11, 2021",2021,February,Thursday,"California Borough Police Department, PA",Pennsylvania,0
Deputy Sheriff,"Donald Raymond Gilreath, III",COVID19,"Friday, February 12, 2021",2021,February,Friday,"Hamilton County Sheriff's Office, OH",Ohio,0
Correctional Officer,Jack Sale Stewart,COVID19,"Saturday, February 13, 2021",2021,February,Saturday,"Florida Department of Corrections, FL",Florida,0
Police Officer,Mitchell Aaron Penton,Vehicular assault,"Saturday, February 13, 2021",2021,February,Saturday,"Dallas Police Department, TX",Texas,0
Officer,Genaro Guerrero,COVID19,"Monday, February 15, 2021",2021,February,Monday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Corrections Officer IV,Taiwo Caroline Obele,COVID19,"Tuesday, February 16, 2021",2021,February,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Major,"Esteban Stevie Ramirez, III",COVID19,"Tuesday, February 16, 2021",2021,February,Tuesday,"Bell County Sheriff's Office, TX",Texas,0
Deputy Constable,Manuel Phillipe De La Rosa,COVID19,"Tuesday, February 16, 2021",2021,February,Tuesday,"Hays County Constable's Office - Precinct 2, TX",Texas,0
Sergeant,"Richard Paul Brown, II",COVID19,"Wednesday, February 17, 2021",2021,February,Wednesday,"Fresno Police Department, CA",California,0
Deputy Sheriff,Michael James Magli,Vehicular assault,"Wednesday, February 17, 2021",2021,February,Wednesday,"Pinellas County Sheriff's Office, FL",Florida,0
Police Officer,Horacio Sebastian Dominguez,Automobile crash,"Sunday, February 21, 2021",2021,February,Sunday,"Miccosukee Tribal Police Department, TR",United States,0
Lieutenant,Eugene Lee Lasco,Stabbed,"Sunday, February 21, 2021",2021,February,Sunday,"Indiana Department of Correction, IN",Indiana,0
Natural Resources Officer,Jason Scott Lagore,Duty related illness,"Tuesday, February 23, 2021",2021,February,Tuesday,"Ohio Department of Natural Resources - Division of State Parks and Watercraft, OH",Ohio,0
Parole Officer,Troy K. Morin,COVID19,"Tuesday, February 23, 2021",2021,February,Tuesday,"Texas Department of Criminal Justice - Parole Division, TX",Texas,0
Officer,Carlos C. Mendoza,COVID19,"Wednesday, February 24, 2021",2021,February,Wednesday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Deputy Sheriff,Thomas Joseph Albanese,Motorcycle crash,"Thursday, February 25, 2021",2021,February,Thursday,"Los Angeles County Sheriff's Department, CA",California,0
Reserve Deputy Constable,Martinus Melvin Mitchum,Gunfire,"Friday, February 26, 2021",2021,February,Friday,"Second City Court of  New Orleans Constable's Office, LA",Louisiana,0
Police Officer,Dominic Jared Winum,Gunfire,"Friday, February 26, 2021",2021,February,Friday,"Stanley Police Department, VA",Virginia,0
Captain,Justin Williams Bedwell,Gunfire,"Monday, March 1, 2021",2021,March,Monday,"Decatur County Sheriff's Office, GA",Georgia,0
Police Officer II,Jose Luis Anzora,Struck by vehicle,"Wednesday, March 3, 2021",2021,March,Wednesday,"Los Angeles Police Department, CA",California,0
Police Officer,Erin Lawrence Tokley,COVID19,"Wednesday, March 3, 2021",2021,March,Wednesday,"Philadelphia Police Department, PA",Pennsylvania,0
Correctional Officer,William Scott Fox,COVID19,"Thursday, March 4, 2021",2021,March,Thursday,"Florida Department of Corrections, FL",Florida,0
Lieutenant,Kenny Lynn Gibbons,COVID19,"Thursday, March 4, 2021",2021,March,Thursday,"Dyer County Sheriff's Office, TN",Tennessee,0
Inspector,John Annarumma,COVID19,"Saturday, March 6, 2021",2021,March,Saturday,"Florida Department of Corrections, FL",Florida,0
Corrections Officer III,Tracey Annette Adams,COVID19,"Saturday, March 6, 2021",2021,March,Saturday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Captain,John M. Phelan,COVID19,"Sunday, March 7, 2021",2021,March,Sunday,"Paterson Police Department, NJ",New Jersey,0
Officer,Crispin San Juan San Jose,COVID19,"Tuesday, March 9, 2021",2021,March,Tuesday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Officer,Jesse Peter Madsen,Vehicular assault,"Tuesday, March 9, 2021",2021,March,Tuesday,"Tampa Police Department, FL",Florida,0
Sergeant,Barry Edwin Henderson,COVID19,"Tuesday, March 9, 2021",2021,March,Tuesday,"Polk County Sheriff's Office, GA",Georgia,0
Deputy Sheriff,Stanley Allen Burdic,Gunfire,"Thursday, March 11, 2021",2021,March,Thursday,"Douglas County Sheriff's Office, OR",Oregon,0
Police Officer,Gary Steven Hibbs,Assault,"Friday, March 12, 2021",2021,March,Friday,"Chicago Heights Police Department, IL",Illinois,0
Border Patrol Agent,Alejandro Flores-Bañuelos,Struck by vehicle,"Monday, March 15, 2021",2021,March,Monday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Police Officer,Kevin Andres Valencia,Gunfire,"Monday, March 15, 2021",2021,March,Monday,"Orlando Police Department, FL",Florida,0
Master Trooper,James Brent Montgomery,COVID19,"Monday, March 15, 2021",2021,March,Monday,"North Carolina Highway Patrol, NC",North Carolina,0
Sergeant,LaShonda Owens,COVID19,"Thursday, March 18, 2021",2021,March,Thursday,"Northampton County Sheriff's Office, NC",North Carolina,0
Police Officer,Matthew Ryan North,Heart attack,"Saturday, March 20, 2021",2021,March,Saturday,"Bernice Police Department, OK",Oklahoma,0
Police Officer,Eric Huston Talley,Gunfire,"Monday, March 22, 2021",2021,March,Monday,"Boulder Police Department, CO",Colorado,0
Chief of Police,Fred Alan Posavetz,COVID19,"Monday, March 22, 2021",2021,March,Monday,"Clinton Township Police Department, MI",Michigan,0
Correctional Officer,Robert Levi McFarland,Assault,"Tuesday, March 23, 2021",2021,March,Tuesday,"Iowa Department of Corrections, IA",Iowa,0
Corrections Employee,Lorena Yanira Schulte,Assault,"Tuesday, March 23, 2021",2021,March,Tuesday,"Iowa Department of Corrections, IA",Iowa,0
Senior Master Trooper,Todd Anthony Hanneken,Automobile crash,"Thursday, March 25, 2021",2021,March,Thursday,"Illinois State Police, IL",Illinois,0
Corporal,Kyle Jeffrey Davis,Assault,"Thursday, March 25, 2021",2021,March,Thursday,"Washington County Sheriff's Office, OK",Oklahoma,0
Trooper,Joseph J. Gallagher,Struck by vehicle,"Friday, March 26, 2021",2021,March,Friday,"New York State Police, NY",New York,0
Sergeant,Shane Troy Owens,COVID19,"Saturday, March 27, 2021",2021,March,Saturday,"Broward County Sheriff's Office, FL",Florida,0
Police Officer,Angel M. Santiago,COVID19,"Sunday, March 28, 2021",2021,March,Sunday,"New York City Police Department, NY",New York,0
Trooper,Chad Michael Walker,Gunfire,"Sunday, March 28, 2021",2021,March,Sunday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Reserve Deputy Sheriff,James A. Driver,Automobile crash,"Monday, March 29, 2021",2021,March,Monday,"Monroe County Sheriff's Office, IN",Indiana,0
Police Officer,Andrew D. Stromfeld,9/11 related illness,"Monday, March 29, 2021",2021,March,Monday,"New York City Police Department, NY",New York,0
Sergeant,Thomas A. Byrne,9/11 related illness,"Wednesday, March 31, 2021",2021,March,Wednesday,"New York City Police Department, NY",New York,0
Corrections Officer,"Luis Arturo Hernandez, Sr.",COVID19,"Wednesday, March 31, 2021",2021,March,Wednesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Police Officer,William Francis Evans,Vehicular assault,"Friday, April 2, 2021",2021,April,Friday,"United States Capitol Police, US",United States,0
Police Officer,Hassan Falah Hassan,Duty related illness,"Friday, April 2, 2021",2021,April,Friday,"Louisville Metro Police Department, KY",Kentucky,0
Lieutenant,"James J. Kouski, Jr.",Vehicular assault,"Saturday, April 3, 2021",2021,April,Saturday,"Hometown Police Department, IL",Illinois,0
Police Officer,Brent Nelson Hall,Automobile crash,"Saturday, April 3, 2021",2021,April,Saturday,"Newton Grove Police Department, NC",North Carolina,0
Deputy Sheriff,Joseph Brandon Gore,COVID19,"Saturday, April 3, 2021",2021,April,Saturday,"Brunswick County Sheriff's Office, NC",North Carolina,0
Deputy Sheriff,Christopher Wilson Knight,Stabbed,"Tuesday, April 6, 2021",2021,April,Tuesday,"Bibb County Sheriff's Office, GA",Georgia,0
Sergeant,James Kyle Smith,Gunfire,"Friday, April 9, 2021",2021,April,Friday,"Iowa State Patrol, IA",Iowa,0
Corrections Deputy,Willie Lois Dortch,COVID19,"Friday, April 9, 2021",2021,April,Friday,"Shelby County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,Thomas Patrick Barnes,Automobile crash,"Saturday, April 10, 2021",2021,April,Saturday,"Jefferson Davis County Sheriff's Department, MS",Mississippi,0
Deputy Sheriff,Carlos Antonio Hernandez,COVID19,"Sunday, April 11, 2021",2021,April,Sunday,"Palm Beach County Sheriff's Office, FL",Florida,0
Border Patrol Agent,Christopher Shane Simpkins,COVID19,"Monday, April 12, 2021",2021,April,Monday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Detective,Harry O. D'Onofrio,9/11 related illness,"Wednesday, April 14, 2021",2021,April,Wednesday,"New York City Police Department, NY",New York,0
Sergeant,Anthony Ray White,COVID19,"Thursday, April 15, 2021",2021,April,Thursday,"Los Angeles Police Department, CA",California,0
Detention Deputy,Mark Edward Anderson,Heart attack,"Thursday, April 15, 2021",2021,April,Thursday,"Olmsted County Sheriff's Office, MN",Minnesota,0
Corrections Officer,Jimmy Garcia,COVID19,"Thursday, April 15, 2021",2021,April,Thursday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Police Officer,David Dewayne Parde,Gunfire,"Sunday, April 18, 2021",2021,April,Sunday,"Lexington Police Department, NC",North Carolina,0
Police Officer,Armando Chaz Mendoza,Automobile crash,"Monday, April 19, 2021",2021,April,Monday,"Clayton County Police Department, GA",Georgia,0
Deputy Sheriff,Terry Dyer,Heart attack,"Tuesday, April 20, 2021",2021,April,Tuesday,"Madison County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,Alexander David Gwosdz,COVID19,"Thursday, April 22, 2021",2021,April,Thursday,"Harris County Sheriff's Office, TX",Texas,0
Correctional Officer,Alexey Bladimir Aguilar,COVID19,"Friday, April 23, 2021",2021,April,Friday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Lead Special Officer,Keith A. Mills,Heart attack,"Sunday, April 25, 2021",2021,April,Sunday,"United States Department of the Treasury - United States Secret Service Special Services Division, US",United States,0
Correctional Officer,Daniel Lynn Creighbaum,Fall,"Sunday, April 25, 2021",2021,April,Sunday,"Wisconsin Department of Corrections, WI",Wisconsin,0
Lieutenant,Adam Dale Whisenant,COVID19,"Tuesday, April 27, 2021",2021,April,Tuesday,"Florida Division of Alcoholic Beverages and Tobacco, FL",Florida,0
Detective,Anastasios Tsakos,Vehicular assault,"Tuesday, April 27, 2021",2021,April,Tuesday,"New York City Police Department, NY",New York,0
Corporal,Keith Andrew Heacook,Assault,"Wednesday, April 28, 2021",2021,April,Wednesday,"Delmar Police Department, DE",Delaware,0
Sergeant,Michael Patrick Cassidy,COVID19,"Wednesday, April 28, 2021",2021,April,Wednesday,"New Bedford Police Department, MA",Massachusetts,0
Sergeant,Christopher David Ward,Gunfire,"Wednesday, April 28, 2021",2021,April,Wednesday,"Watauga County Sheriff's Office, NC",North Carolina,0
Deputy Sheriff,Logan Shane Fox,Gunfire,"Wednesday, April 28, 2021",2021,April,Wednesday,"Watauga County Sheriff's Office, NC",North Carolina,0
Police Officer,Michael Roderick Mundy,COVID19,"Wednesday, April 28, 2021",2021,April,Wednesday,"New York City Police Department, NY",New York,0
Police Officer,Christopher Allan Farrar,Vehicular assault,"Friday, April 30, 2021",2021,April,Friday,"Chandler Police Department, AZ",Arizona,0
Detention Services Officer,Michael Wall,Heart attack,"Friday, April 30, 2021",2021,April,Friday,"Los Angeles County Probation Department, CA",California,0
Police Officer,Allen S. Giacchetti,COVID19,"Friday, April 30, 2021",2021,April,Friday,"Cook County Sheriff's Police Department, IL",Illinois,0
Correctional Officer,David Joseph Jean-Baptiste,COVID19,"Saturday, May 1, 2021",2021,May,Saturday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Patrol Officer,David Alan Marshall,COVID19,"Saturday, May 1, 2021",2021,May,Saturday,"Texas Christian University Police Department, TX",Texas,0
Sergeant,John Richard Burright,Struck by vehicle,"Tuesday, May 4, 2021",2021,May,Tuesday,"Oregon State Police, OR",Oregon,0
Border Patrol Agent,Freddie Vasquez,COVID19,"Saturday, May 8, 2021",2021,May,Saturday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Detective,Luca Pietro Benedetti,Gunfire,"Monday, May 10, 2021",2021,May,Monday,"San Luis Obispo Police Department, CA",California,0
Deputy Sheriff,Samuel Alexander Leonard,Gunfire,"Monday, May 10, 2021",2021,May,Monday,"Concho County Sheriff's Office, TX",Texas,0
Sergeant,Stephen George Jones,Gunfire,"Monday, May 10, 2021",2021,May,Monday,"Concho County Sheriff's Office, TX",Texas,0
Police Officer,Jimmy Arty Inn,Gunfire,"Tuesday, May 11, 2021",2021,May,Tuesday,"Stockton Police Department, CA",California,0
Deputy Sheriff,James Allen Herrera,COVID19,"Sunday, May 16, 2021",2021,May,Sunday,"Denver Sheriff's Department, CO",Colorado,0
Lieutenant,Adam Gustafson,Heart attack,"Tuesday, May 18, 2021",2021,May,Tuesday,"West Fargo Police Department, ND",North Dakota,0
Superintendent,Scott Damian Slip Mahoney,COVID19,"Tuesday, May 18, 2021",2021,May,Tuesday,"Delaware County Bureau of Park Police and Fire Safety, PA",Pennsylvania,0
Police Officer,Christopher Neil Oberheim,Gunfire,"Wednesday, May 19, 2021",2021,May,Wednesday,"Champaign Police Department, IL",Illinois,0
Police Officer,Jeremy Allan Brinton,Struck by vehicle,"Friday, May 21, 2021",2021,May,Friday,"Nogales Police Department, AZ",Arizona,0
Corporal,Thomas Wade Frazier,Automobile crash,"Friday, May 21, 2021",2021,May,Friday,"Artesia Police Department, NM",New Mexico,0
Police Officer,Christopher Scott Scotty Triplett,Motorcycle crash,"Saturday, May 22, 2021",2021,May,Saturday,"Memphis Police Department, TN",Tennessee,0
Detective,Stephen Christopher Arnold,Gunfire,"Sunday, May 23, 2021",2021,May,Sunday,"Jefferson Parish Sheriff's Office, LA",Louisiana,0
Deputy Sheriff,"Wagner Lee Buz Baskett, Jr.",COVID19,"Monday, May 24, 2021",2021,May,Monday,"Breckinridge County Sheriff's Office, KY",Kentucky,0
