,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
768, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,TaraStrong,MichaelAnsara,BobHastings",Batman and Batgirl hunt Mr. Freeze who is on a destructively nihilistic campaign.,7.5,,461,,DC
769, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MathewValencia,TaraStrong,PeterBreck",A ruined agricultural breeder of dangerously oversized livestock plots his revenge on Gotham City.,5.8,,406,,DC
770, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,BobHastings,AdrienneBarbeau,ScottCleverdon",Catwoman is pursued by a fanatical cat themed cult.,7.0,,400,,DC
771, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",21 min,TV-PG,CurtGeda,"KevinConroy,TaraStrong,GeorgeDzundza,MelWinkler","Arnold Wesker, The Ventriloquist, is released from Arkham Asylum, deemed a healthy man - only to discover that his alternate personality Scarface may still be struggling to return.",8.2,,457,,DC
772, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",21 min,TV-PG,CurtGeda,"KevinConroy,TaraStrong,NicholleTom,DianePershing","When Livewire escapes in Gotham City, Supergirl and Batgirl team up to find her, but the supervillainess has joined with Harley Quinn and Poison Ivy herself.",7.8,,444,,DC
773, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,AtsukoTanaka,"KevinConroy,MathewValencia,EfremZimbalistJr.,BobHastings",Robin tries to help a mysterious lost little girl against the equally unknown man pursuing her.,8.5,,503,,DC
774, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,TaraStrong,MathewValencia,MarkHamill",The heroes and villains of Gotham City have various adventures during the Christmas holiday season.,7.7,,546,,DC
775, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,TaraStrong,LorenLester,MarkHamill","A destitute Joker unaccountably inherits a fortune from a hated rival, only to find out the hard way why.",8.2,,506,,DC
776, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",21 min,TV-PG,CurtGeda,"KevinConroy,EfremZimbalistJr.,RichardMoll,MalachiThrone","Batman investigates the sudden appearance of ""The Judge,"" a faceless vigilante who battles Gotham City's supervillains with lethal force.",8.7,,497,,DC
777, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",20 min,TV-PG,DanRiba,"KevinConroy,GaryOwens,MichaelIronside,MichaelMcKean",Several children give their widely varying opinions of who they think Batman is.,8.5,,563,,DC
778, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",21 min,TV-PG,ButchLukic,"KevinConroy,TaraStrong,LaraineNewman,BrooksGardner","Seeing a kindred spirit, Baby-Doll springs Croc from custody to be her lover and partner in crime.",7.0,,406,,DC
779, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MarkHamill,ArleenSorkin,BobHastings",Harley Quinn tries to impress her love while the origin of her career as The Joker's sidekick is revealed.,9.4,,720,,DC
780, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,HiroyukiAoyama,"KevinConroy,TaraStrong,SelaWard,BarryBostwick","Batman and Batgirl oppose Calender Girl, a mysterious woman who is attacking various youth oriented media events.",7.4,,410,,DC
781, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,KenjiHachizaki,"KevinConroy,MathewValencia,EfremZimbalistJr.,JeffreyCombs","The Scarecrow threatens to unleash a powerful new toxin on Gotham City that removes all fear, leaving its victims unafraid of deadly danger. Complications arise when Batman is exposed to the gas.",8.3,,493,,DC
782, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,CurtGeda,"KevinConroy,TaraStrong,LorenLester,MathewValencia",Dick Grayson reveals to his successor the secret of the strained relationships with his mentor and Barbara Gordon.,8.9,,537,,DC
783, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,YûichirôYano,"KevinConroy,MathewValencia,LorenLester,EfremZimbalistJr.",Batman and his allies apparently have their secret identities exposed and are now are hunted by the police.,9.3,,654,,DC
784, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,CurtGeda,"KevinConroy,MathewValencia,TaraStrong,EfremZimbalistJr.",A young street kid finds himself hunted by Two-Face and the boy insists that he help Batman stop the villain.,7.9,,478,,DC
785, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,AtsukoTanaka,"KevinConroy,MathewValencia,BillyZane,StephenWolfeSmith",Klarion the Witch Boy takes control of Etrigan the Demon and the Dynamic Duo must stop his destructive mischief.,6.9,,403,,DC
786, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,TaraStrong,CharityJames,PaulWilliams","Batman contends with Roxy Rocket, a stuntwoman-turned-criminal who gets a real thrill out of taking dangerous risks.",6.9,,425,,DC
787, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",21 min,TV-PG,CurtGeda,"KevinConroy,TaraStrong,EfremZimbalistJr.,MarkRolston","A rock singer is stalked by an obsessive pyrotechnician turned supervillain, Firefly.",7.1,,401,,DC
788, The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",20 min,TV-PG,DanRiba,"KevinConroy,AdrienneBarbeau,LorenLester,TaraStrong",Catwoman entices the estranged Nightwing to cooperate with her against a gangster over Batman's wishes.,7.6,,457,,DC
789, Duck Dodgers,(2003–2005),"Animation,Short,Action",23 min,TV-Y7,"SpikeBrandt,TonyCervone","JoeAlaskey,BobBergen,RichardMcGonagle,JohndeLancie","At the laundry, Duck Dodgers accidentally gets Green Lantern Hal Jordan's outfit, including his power ring.",9.2,,111,,DC
790, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","In an alternate reality, a version of the Justice League known as the Justice Lords discovers the League's world and plot to take it over.",8.8,,601,,DC
791, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","With the Justice League out of the way, the Justice Lords begin to establish their own style of order.",8.9,,612,,DC
792, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,SusanEisenberg,CarlLumbly,MichaelRosenbaum",The League joins with Etrigan the Demon to battle Morgan Le Fay's scheme of world conquest for her son.,7.6,,495,,DC
793, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,SusanEisenberg,CarlLumbly,MichaelRosenbaum",The diabolical Le Fays finally obtain the Stone and plan to use it to revert England back to Medieval Times; Wonder Woman resists the advantage of Harv Hickman-just before he is turned into a parasite.,7.7,,483,,DC
794, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"NicholleTom,PhilLaMarr,GiselleLoren,PaulGuilfoyle","Green Lantern, Stargirl, S.T.R.I.P.E. and Supergirl are drawn to the subterranean world of Skartaris to assist the Warlord, Travis Morgan.",7.1,,396,,DC
795, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-Y7,ButchLukic,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,GeorgeNewbern",Members of the Justice League celebrate Christmas.,8.0,,519,,DC
796, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,GeorgeNewbern","Most of the League battles with powerful alien nanotechnology but, realize that the waves of self-replicating robots cannot be simply destroyed. The diminutive Atom shrinks himself to stop the robots from the inside.",7.6,,443,,DC
797, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"KevinConroy,SusanEisenberg,GeorgeNewbern,RaphaelSbarge","Deadman calls on Batman, Superman, and Wonder Woman to help him recover an orb containing the souls of a monastic order that was stolen by the Secret Society.",8.0,,417,,DC
798, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"KevinConroy,GeorgeNewbern,SusanEisenberg,MichaelRosenbaum",The Justice League charter members must battle the combined Lex Luthor/Brainiac menace alone.,9.3,,649,,DC
799, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,JoaquimDosSantos,"AmyAcker,MorenaBaccarin,KinShriner,JeffreyCombs","Seeking to avenge the death of her parents, the Huntress enlists the help of the Question in tracking down Steven Mandragora, a mobster in protective custody -- and being guarded by the Green Arrow and Black Canary.",8.4,,476,,DC
800, Justice League,(2001–2004),"Animation,Action,Adventure",30 min,TV-PG,DanRiba,"SusanEisenberg,PhilLaMarr,MichaelRosenbaum,TraceyWalter","Released by a soldier, an evil entity takes control of various people and threatens the world.",7.4,,436,,DC
801, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"MariaCanals-Barrera,PhilLaMarr,SusanEisenberg,CarlLumbly","With the other members of the Justice League possessed by the entities, the Flash must find a way of stopping them from carrying out their plan to exterminate humanity.",7.7,,433,,DC
802, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"WillFriedle,KevinConroy,CCHPounder,LaurenTom","In the future, Terry McGinnis learns the truth about his birth.",9.2,,802,,DC
803, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"CarlLumbly,KinShriner,NicholleTom,JeffreyCombs","Supergirl, Green Arrow, and The Question investigate Supergirl's disturbing dreams. They discover that Cadmus created a clone of Supergirl named Galatea while she was recovering from her fight against Superman on Earth.",7.8,,490,,DC
804, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",30 min,TV-Y7-FV,JoaquimDosSantos,"MichaelRosenbaum,KevinConroy,RonPerlman,MarkHamill","A day in the life of Wally West aka The Flash. The day includes West at his day job, as a Criminal Lab tech, the dedication of the Flash Museum, and the attacks of four villians.",8.6,,496,,DC
805, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,JoaquimDosSantos,"CarlLumbly,GeorgeNewbern,MichaelRosenbaum,ClancyBrown",Lex Luthor executes his masterstroke to eliminate Project Cadmus and frame the Justice League.,8.9,,503,,DC
806, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",21 min,TV-Y7-FV,DanRiba,"GeorgeNewbern,SusanEisenberg,KevinConroy,EricRoberts",Batman and Wonder Woman find Superman immobilized in the Fortress of Solitude by a plant sent by the would-be conqueror Mongul.,8.6,,706,,DC
807, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr",The Justice League must battle a fanatical Amazon scheming to kill all the men in the world.,7.4,,498,,DC
808, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,CarlLumbly","With the male heroes suffering from Aresia's bio-weapon, the female Justice Leaguers race to stop their foe before she can contaminate the entire planet.",7.4,,492,,DC
809, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,JoaquimDosSantos,"SusanEisenberg,CarlLumbly,FredSavage,JasonHervey","Ares creates a war machine called the Annihilator to escalate a civil war in Kasnia. Hawk, Dove, and Wonder Woman try to stop his plans.",6.6,,500,,DC
810, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,ButchLukic,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,MichaelRosenbaum","After learning of his mentor Katama's fall in battle, the Green Lantern travels to a world at the edge of the galaxy to investigate.",7.3,,441,,DC
811, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,ButchLukic,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,MichaelRosenbaum","Joined by Hawkgirl, Martian Manhunter, and the Flash, the Green Lantern and Katma face the fanatic cult leader Despero in an effort to stop his plans to conquer the galaxy.",7.4,,436,,DC
812, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","During a battle with the Revenge Squad, Superman apparently falls in battle.",8.8,,563,,DC
813, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","Superman has been transported into the distant future. With no powers, he must find a way to get back to the present, he finds an unexpected ally in Vandal Savage, the Earth's lone human ...                See full summary »",9.0,,599,,DC
814, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,GinaTorres","Shayera, Vixen and Vigilante are lured into an ambush by Thanagarians seeking revenge.",7.4,,407,,DC
815, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"GeorgeNewbern,MariaCanals-Barrera,MichaelRosenbaum,ClancyBrown",The newly-escaped Lex Luthor is given a membership test for Gorilla Grodd's expanded Secret Society.,7.9,,413,,DC
816, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,GeorgeNewbern",Green Lantern is brought up on charges of genocide and is forced to attend an intergalactic trial courtesy of the Manhunters.,7.3,,657,,DC
817, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,ButchLukic,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,GeorgeNewbern","Suspecting a railroad job, the League digs deeper into the charges against the Lantern. When the Guardians of the Universe arrive, the Manhunters' true motivation is revealed.",7.5,,639,,DC
818, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"KevinConroy,PhilLaMarr,CarlLumbly,GeorgeNewbern","After unsuccessfully attempting to recruit the Green Arrow to join the expanded League, he plays an important role with a team sent to manage a crisis in Asia.",7.6,,554,,DC
819, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,PhilLaMarr,CarlLumbly","Arrested and terminally ill, Lex Luthor breaks out of prison to assemble a team of supervillains to help him destroy the Justice League.",8.4,,579,,DC
820, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","His illness treated by Ultra-Humanite, Luthor pressures his cadre of super-villains to combat the League. While captured, Batman exploits the greed of the group to his advantage.",8.6,,569,,DC
821, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"PhilLaMarr,GeorgeNewbern,SusanEisenberg,KevinConroy","Morgaine Le Fey transforms Superman, Batman, Wonder Woman, and Green Lantern into children after Mordred uses his magic to remove all adults from Earth and keep children on the Earth.",8.0,,604,,DC
822, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,GeorgeNewbern","Several Leaguers are flung into another dimension populated with Green Lantern's childhood comic book heroes, the Justice Guild.",8.5,,611,,DC
823, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"MariaCanals-Barrera,PhilLaMarr,CarlLumbly,MichaelRosenbaum","Still trapped in an alternate dimension, the Leaguers help the Justice Guild wage war against the Injustice Guild. But the secret behind this reality threatens to erase them all.",8.7,,605,,DC
824, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,PhilLaMarr",Diana makes friends with a flighty princess only to discover her fiancé is the immortal supervillain Vandal Savage.,7.4,,456,,DC
825, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,PhilLaMarr,CarlLumbly",The Justice League works to thwart Vandal Savage's plan to blackmail the nations of the world with an orbiting railgun.,7.7,,458,,DC
826, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,PhilLaMarr,GeorgeNewbern",Green Lantern's friend is transformed into a monstrous elemental shape-shifter by his jealous employer and is tricked into thinking Green Lantern is responsible.,7.4,,474,,DC
827, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,PhilLaMarr,CarlLumbly",A confused Mason/Metamorpho is finally convinced the League is there to help him. Together they race to head off the newly transformed Stagg before he kills Mason's fiancé-his own daughter.,7.4,,472,,DC
828, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"KevinConroy,PhilLaMarr,SusanEisenberg,MichaelRosenbaum",The time traveling League team goes to the future to team up with that time's League to battle Chronos who rules.,8.7,,539,,DC
829, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"KevinConroy,PhilLaMarr,SusanEisenberg,PeterMacNicol","While pursuing a time traveling thief, Batman, Wonder Woman and Green Lantern team up with a collection of DC Universe western heroes to battle the villain controlling him.",8.5,,533,,DC
830, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,CarlLumbly,PhilLaMarr",A man becomes a supervillain who attacks his victims in their dreams.,8.2,,481,,DC
831, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,ButchLukic,"KevinConroy,MariaCanals-Barrera,CarlLumbly,PhilLaMarr","With the other members of the Justice League trapped in their worst nightmares, Batman and Martian Manhunter have to defeat Doctor Destiny and save them before it is too late.",8.5,,487,,DC
832, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"KevinConroy,SusanEisenberg,PhilLaMarr,CarlLumbly","While the senior Leaguers struggle to respond to the mysterious main gun firing, Amanda Waller orders Galatea to lead a full attack on the Justice League.",9.0,,497,,DC
833, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,GeorgeNewbern","Wonder Woman returns to Paradise Island after her abrupt departure, only to find the Amazons turned to stone. Sorcerer Felix Faust demands three mystical artifacts as the ransom.",7.5,,587,,DC
834, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,GeorgeNewbern","While helping Wonder Woman liberate her island, the League discovers Faust is attempting to free Hades and open a portal to Tartarus, a pit of souls.",7.7,,578,,DC
835, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,JoaquimDosSantos,"J.K.Simmons,ChrisCox,KinShriner,PhilLaMarr",The paranoid General Eiling turns himself into a superstrong brute to kill Superman and only seven non-powered soldiers of the JL can deny him victory.,7.9,,424,,DC
836, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",25 min,TV-Y7-FV,DanRiba,"GeorgeNewbern,JeffreyCombs,AmyAcker,ChrisCox","The Question, fearing disaster, decides to kill Lex Luthor to avert it.",9.0,,512,,DC
837, Justice League,(2001–2004),"Animation,Action,Adventure",21 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,GeorgeNewbern","Batman and Superman team up to deal with an alien invasion, and a telepathic message leads the duo to a military base housing future ally J'onn J'onzz.",8.0,,884,,DC
838, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,"ButchLukic,DanRiba","KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","With the nation's warheads disarmed by Superman after a peace initiative, the heroes rally to stop nocturnal alien invaders from blocking out the sun.",7.9,,738,,DC
839, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,"DanRiba,ButchLukic","KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","The heroes are captured by the aliens just as their leader, the Imperium, arrives. After vanquishing the invasion, they decide to officially join forces as the Justice League.",8.1,,736,,DC
840, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","While the Justice League is experiencing serious internal friction, Gorilla Grodd carefully assembles a well organized supervillain team to attack it.",8.3,,454,,DC
841, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,PhilLaMarr,SusanEisenberg","With the Justice League disbanded, its former members are targeted by the super-villains of the Secret Society.",8.2,,447,,DC
842, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"MariaCanals-Barrera,KevinConroy,PhilLaMarr,JamesRemar",Shayera is approached by an archaeologist who is convinced that he is the reincarnated husband of a previous incarnation of her.,7.6,,402,,DC
843, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,"ButchLukic,DanRiba","KevinConroy,MariaCanals-Barrera,PhilLaMarr,SusanEisenberg","Hawkgirl's people, the Thanagarians, arrive to offer the planet protection from another alien race threatening to invade Earth.",8.6,,552,,DC
844, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,"DanRiba,ButchLukic","KevinConroy,MariaCanals-Barrera,PhilLaMarr,SusanEisenberg","With Earth now under Thanagarian control, the Justice League goes into hiding to recover and cope with the betrayal of one of their own.",8.8,,519,,DC
845, Justice League,(2001–2004),"Animation,Action,Adventure",24 min,TV-PG,"ButchLukic,DanRiba","KevinConroy,MariaCanals-Barrera,PhilLaMarr,SusanEisenberg",The Justice League launch an assault on the Thanagarians before the activation of a hyperspace gate that will destroy Earth.,9.2,,595,,DC
846, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr",Lex Luthor finds an extremely advanced android that can imitate superpowers and manipulates it to attack the Justice League.,8.1,,486,,DC
847, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","Android Amazo has absorbed most of the League's powers, but begins to question Luthor's true motivations. Meanwhile, Batman reveals he has a contingency plan for Superman going AWOL: Kryptonite.",8.4,,477,,DC
848, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"PhilLaMarr,CarlLumbly,MichaelRosenbaum,AdamBaldwin","Cadmus has recruited a team of supervillains named Task Force X (based on the comics' Suicide Squad) made up of Deadshot, Plastique, Captain Boomerang, and the Clock King. Their mission: steal the Annihilator armor from the Watchtower.",8.4,,468,,DC
849, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"MariaCanals-Barrera,SusanEisenberg,CarlLumbly,MichaelRosenbaum","To help her magic superhero friends, the God Hermes sends Wonder Woman on a mission to help free Hades from the clutches of Felix Faust.",7.7,,415,,DC
850, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"PhilLaMarr,MichaelRosenbaum,PowersBoothe,DavidOgdenStiers","Gorilla Grodd uses a mind-control device to obtain isotopes that will help destroy Gorilla City. To that end, he enlists Flash to oppose the Green Lantern.",7.5,,524,,DC
851, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","Central City is under the rule of Grodd, who plans on attacking Gorilla City with missiles. As Flash confronts the maniacal ape the team races to stop the destruction.",7.6,,517,,DC
852, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"MorenaBaccarin,KinShriner,DennisFarina,VirginiaMadsen","Black Canary convinces Green Arrow to help save her mentor, Wildcat, from his involvement in an underground, super-powered fight club known as MetaBrawl.",8.0,,441,,DC
853, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"GeorgeNewbern,KevinConroy,CarlLumbly,JerryO'Connell",Captain Marvel joins the Justice League and his innocent presence inadvertently causes friction with Superman.,8.3,,490,,DC
854, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"KevinConroy,SusanEisenberg,CarlLumbly,GeorgeNewbern",Superman battles Doomsday in the heart of a volcano. Doomsday is revealed to be a modified clone of Superman. Batman probes the Cadmus conspiracy to destroy the Justice League.,8.6,,517,,DC
855, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,PhilLaMarr,CarlLumbly",The team encounters an agitated Aquaman while trying to rescue a submarine crew. His opinion of surface dwellers doesn't improve after an attempted assassination by Deadshot.,7.6,,594,,DC
856, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,DanRiba,"KevinConroy,SusanEisenberg,PhilLaMarr,CarlLumbly","The team is captured after helping Aquaman stop an underwater coup by his half-brother, Orm. Struggling to free himself and his son from death, Aquaman sacrifices his own hand.",7.9,,586,,DC
857, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,DanRiba,"ClancyBrown,MichaelRosenbaum,PhilLaMarr,PowersBoothe",Lex Luthor and the Flash accidentally switch bodies.,8.6,,477,,DC
858, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,TV-Y7-FV,DanRiba,"KevinConroy,SusanEisenberg,PhilLaMarr,CarlLumbly","The Justice League battle Mordru in the background, while the narrative follows Booster Gold as he attempts to close a walking black hole while he's supposed to be on ""crowd control"".",8.1,,559,,DC
859, Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,TV-Y7-FV,JoaquimDosSantos,"PhilLaMarr,CarlLumbly,GeorgeNewbern,MariaCanals-Barrera","After blasting through the entire Green Lantern Corps, the android Amazo returns to Earth. Only the Justice League stands between him and his goal -- the now-reformed Lex Luthor.",8.5,,534,,DC
860, Justice League,(2001–2004),"Animation,Action,Adventure",22 min,TV-PG,"ButchLukic,DanRiba","KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr",The Justice League go back in time to World War II to prevent the immortal Vandal Savage from using future technology to change history.,8.4,,523,,DC
861, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,"ButchLukic,DanRiba","MariaCanals-Barrera,SusanEisenberg,PhilLaMarr,CarlLumbly","Mired in World War II, the Leaguers discover that Vandal Savage has usurped Hitler and is getting technology from his future self, setting the stage for his eventual rule.",8.2,,503,,DC
862, Justice League,(2001–2004),"Animation,Action,Adventure",23 min,TV-PG,"ButchLukic,DanRiba","KevinConroy,MariaCanals-Barrera,SusanEisenberg,PhilLaMarr","With the help of Sgt. Rock, the League races to stop Savage's plans to invade the U.S. with warplanes and forever alter the course of world history.",8.4,,514,,DC
863, Justice League,(2001–2004),"Animation,Action,Adventure",30 min,TV-PG,ButchLukic,"MariaCanals-Barrera,SusanEisenberg,GeorgeNewbern,ScottRummell","Solomon Grundy attacks a harbor. After the military has him contained, Aquaman arrives and steals Grundy. When the League finds out Aquaman is involved, they head to Dr. Fate to get some answers.",7.8,,450,,DC
