Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Roby,PF,22,OKC,22,9,445,6.0,11.1,.540,0.9,2.8,.314,5.1,8.3,.618,2.3,3.4,.690,2.9,6.3,9.2,2.8,1.2,1.1,1.9,4.5,15.2
Rajon Rondo,PG,34,ATL,14,2,214,3.2,9.3,.345,1.3,4.4,.308,1.9,4.9,.379,0.2,0.3,.500,0.7,4.7,5.4,9.1,1.5,0.2,3.2,2.2,7.9
Derrick Rose,PG,32,TOT,20,0,445,8.1,18.9,.427,1.3,3.9,.333,6.8,15.0,.452,4.3,5.1,.841,0.6,2.9,3.5,6.5,1.9,0.6,3.0,1.7,21.8
Derrick Rose,PG,32,DET,15,0,342,8.3,19.4,.429,1.4,4.1,.333,6.9,15.3,.455,4.4,5.3,.840,0.6,2.4,3.1,6.6,1.9,0.4,3.1,1.8,22.4
Derrick Rose,G,32,NYK,5,0,103,7.3,17.5,.420,1.0,3.1,.333,6.3,14.3,.439,3.8,4.5,.846,0.3,4.5,4.9,5.9,1.7,1.0,2.8,1.4,19.6
Terrence Ross,SG,29,ORL,28,1,806,6.9,16.6,.414,2.5,7.1,.346,4.4,9.5,.465,2.9,3.3,.892,0.4,3.7,4.0,2.7,1.2,0.7,2.3,2.5,19.2
Terry Rozier,SG,26,CHO,26,26,867,8.1,16.4,.490,3.7,8.3,.445,4.4,8.1,.536,2.4,3.0,.795,0.6,3.8,4.4,3.3,1.4,0.5,1.9,2.1,22.2
Ricky Rubio,PG,30,MIN,27,12,679,3.6,9.6,.370,0.8,3.1,.276,2.7,6.5,.415,2.3,2.8,.830,0.6,4.2,4.8,9.3,1.8,0.0,3.0,3.2,10.3
D'Angelo Russell,PG,24,MIN,20,19,583,8.6,20.1,.426,3.6,9.1,.399,4.9,11.0,.449,3.0,4.0,.750,0.6,2.7,3.2,6.2,1.4,0.6,3.3,2.4,23.8
Domantas Sabonis,PF,24,IND,29,29,1055,8.1,15.3,.528,1.0,2.8,.358,7.1,12.6,.565,4.1,5.8,.710,2.8,8.7,11.5,5.7,1.0,0.6,3.3,3.5,21.3
Luka Šamanić,PF,21,SAS,4,0,11,6.5,19.6,.333,6.5,9.8,.667,0.0,9.8,.000,3.3,6.5,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9
JaKarr Sampson,PF,27,IND,13,0,78,5.1,11.5,.440,0.0,1.4,.000,5.1,10.2,.500,3.7,4.6,.800,3.2,8.8,12.0,0.0,0.5,1.4,1.4,4.2,13.8
Dario Šarić,PF,26,PHO,10,0,181,7.0,15.9,.438,2.2,7.0,.314,4.8,9.0,.533,4.6,4.8,.958,1.4,6.6,8.0,2.4,2.0,0.4,2.8,4.0,20.7
Tomáš Satoranský,SG,29,CHI,16,0,320,4.1,8.2,.493,1.2,2.8,.440,2.8,5.4,.521,2.1,2.4,.905,0.6,4.3,4.8,8.8,1.1,0.3,2.7,2.4,11.5
Dennis Schröder,SG,27,LAL,29,29,902,5.9,13.3,.441,1.1,3.6,.311,4.7,9.7,.490,3.6,4.4,.820,0.7,3.5,4.2,5.0,1.1,0.2,2.6,3.1,16.5
Mike Scott,PF,32,PHI,11,3,193,3.0,9.0,.333,2.1,7.1,.289,0.9,1.9,.500,0.4,0.6,.667,0.7,4.7,5.4,0.2,0.6,0.4,0.9,2.8,8.4
Collin Sexton,SG,22,CLE,24,24,847,8.6,17.7,.484,1.5,3.7,.407,7.1,14.1,.505,4.5,5.7,.805,0.8,1.8,2.6,4.3,1.1,0.2,2.5,3.0,23.2
Landry Shamet,SG,23,BRK,26,0,494,4.4,11.8,.377,3.0,8.6,.347,1.5,3.2,.455,2.1,2.4,.879,0.4,2.6,2.9,2.6,0.9,0.3,1.5,2.5,14.0
Pascal Siakam,PF,26,TOR,25,25,895,7.7,16.9,.455,1.2,4.2,.298,6.4,12.7,.506,4.1,5.1,.797,2.2,5.6,7.8,4.5,1.2,0.6,2.3,3.1,20.7
Chris Silva,PF,24,MIA,6,0,53,4.1,6.1,.667,0.7,0.7,1.000,3.4,5.4,.625,6.8,8.2,.833,4.8,7.5,12.2,4.1,0.7,1.4,5.4,9.5,15.6
Ben Simmons,PG,24,PHI,25,25,835,6.3,11.2,.562,0.0,0.3,.167,6.3,11.0,.571,3.8,5.7,.667,1.7,7.2,8.9,8.7,1.8,0.9,3.6,3.4,16.4
Anfernee Simons,SG,21,POR,25,0,447,6.1,14.8,.413,4.4,10.6,.420,1.7,4.3,.396,1.5,1.9,.826,0.5,4.2,4.7,2.5,0.5,0.4,1.7,3.4,18.2
Deividas Sirvydis,SG,20,DET,4,0,5,0.0,14.4,.000,0.0,14.4,.000,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
Marcus Smart,PG,26,BOS,17,17,549,4.9,12.3,.394,1.8,5.9,.311,3.0,6.4,.469,3.0,4.1,.742,0.5,2.6,3.1,6.8,2.0,0.6,2.0,2.6,14.6
Dennis Smith Jr.,PG,23,TOT,7,0,85,4.7,14.0,.333,0.8,5.1,.167,3.8,8.9,.429,3.4,4.2,.800,0.8,2.5,3.4,4.7,1.3,0.4,2.1,2.1,13.6
Dennis Smith Jr.,PG,23,NYK,3,0,28,2.6,12.9,.200,0.0,5.1,.000,2.6,7.7,.333,6.4,7.7,.833,0.0,2.6,2.6,3.9,3.9,0.0,1.3,5.1,11.6
Dennis Smith Jr.,G,23,DET,4,0,57,5.7,14.5,.391,1.3,5.1,.250,4.4,9.5,.467,1.9,2.5,.750,1.3,2.5,3.8,5.1,0.0,0.6,2.5,0.6,14.5
Ish Smith,PG,32,WAS,19,1,391,4.1,10.7,.379,0.5,1.8,.250,3.6,8.8,.406,0.6,1.4,.400,0.9,5.2,6.1,8.3,1.4,0.4,1.7,1.7,9.1
Jalen Smith,PF,20,PHO,8,0,50,4.3,12.2,.353,1.4,5.0,.286,2.9,7.2,.400,0.0,1.4,.000,3.6,3.6,7.2,1.4,0.0,1.4,0.7,2.2,10.1
Tony Snell,SG,29,ATL,15,0,193,3.0,7.5,.400,2.6,5.4,.483,0.4,2.1,.182,0.0,0.0,0,1.1,3.4,4.5,2.6,0.2,0.4,1.1,2.6,8.6
Ray Spalding,F,23,HOU,2,0,19,3.8,7.6,.500,0.0,1.9,.000,3.8,5.7,.667,0.0,3.8,.000,3.8,3.8,7.6,0.0,0.0,3.8,5.7,5.7,7.6
Cassius Stanley,SG,21,IND,8,0,23,3.1,11.0,.286,1.6,3.1,.500,1.6,7.8,.200,6.3,7.8,.800,3.1,1.6,4.7,0.0,0.0,3.1,1.6,11.0,14.1
Lamar Stevens,PF,23,CLE,18,0,265,4.2,10.5,.403,0.3,2.0,.133,3.9,8.4,.468,2.4,3.7,.667,1.0,5.3,6.2,2.6,1.1,0.7,1.1,3.0,11.1
Isaiah Stewart,C,19,DET,26,2,466,4.4,8.4,.523,0.1,0.3,.250,4.3,8.1,.533,1.6,2.3,.700,4.9,5.9,10.8,1.3,1.0,1.9,1.5,5.5,10.5
Max Strus,SF,24,MIA,16,0,235,6.3,12.1,.519,4.1,9.8,.422,2.1,2.3,.933,1.1,1.4,.778,0.2,2.5,2.6,1.2,0.3,0.0,0.5,2.9,17.8
Edmond Sumner,SG,25,IND,16,4,150,5.8,11.5,.500,1.2,3.8,.313,4.6,7.7,.594,2.2,3.4,.643,1.4,3.6,5.0,1.9,1.9,0.2,2.4,4.1,14.9
Jae'Sean Tate,SF,25,HOU,28,18,763,5.3,9.6,.549,0.9,2.7,.328,4.4,6.9,.637,1.6,2.2,.717,2.2,4.5,6.7,2.4,1.2,0.8,1.6,3.9,13.0
Jayson Tatum,SF,22,BOS,23,23,810,9.6,21.3,.449,2.8,7.2,.389,6.8,14.1,.479,4.5,5.1,.886,0.6,6.6,7.2,4.8,1.3,0.4,2.5,1.9,26.4
Jeff Teague,PG,32,BOS,23,3,397,3.8,11.8,.323,1.5,3.4,.421,2.4,8.3,.283,2.4,2.7,.900,0.6,2.7,3.4,4.2,1.9,0.3,2.3,2.2,11.5
Garrett Temple,SG,34,CHI,26,5,715,4.2,9.9,.426,2.0,5.6,.360,2.2,4.3,.512,1.1,1.4,.815,0.7,3.4,4.0,2.6,1.4,0.7,1.4,3.2,11.6
Tyrell Terry,PG,20,DAL,11,0,56,3.2,10.3,.313,0.0,4.5,.000,3.2,5.8,.556,0.6,1.9,.333,0.0,3.9,3.9,3.9,3.2,0.0,1.3,1.3,7.1
Daniel Theis,C,28,BOS,26,21,623,5.5,9.7,.571,1.3,3.4,.397,4.2,6.4,.664,1.6,2.4,.683,2.0,5.7,7.7,2.1,0.9,1.5,1.6,4.3,14.0
Brodric Thomas,SG,24,HOU,4,0,24,3.0,10.5,.286,1.5,9.0,.167,1.5,1.5,1.000,7.5,10.5,.714,1.5,4.5,6.0,6.0,1.5,1.5,6.0,7.5,15.0
Matt Thomas,SG,26,TOR,14,0,84,4.7,12.0,.393,3.9,9.0,.429,0.9,3.0,.286,1.7,1.7,1.000,0.4,3.4,3.9,2.6,0.9,0.0,1.7,2.1,15.0
Tristan Thompson,PF,29,BOS,26,21,586,4.5,9.0,.507,0.0,0.1,.000,4.5,8.8,.514,2.0,3.3,.611,4.7,8.6,13.3,1.3,0.6,0.6,1.5,3.6,11.1
Sindarius Thornwell,SG,26,NOP,10,1,51,3.5,8.5,.417,2.1,4.2,.500,1.4,4.2,.333,0.0,1.4,.000,0.7,1.4,2.1,1.4,2.8,0.0,0.7,2.1,9.2
Matisse Thybulle,SG,23,PHI,26,1,461,2.5,6.5,.386,1.2,4.1,.288,1.3,2.4,.548,0.5,0.9,.500,0.6,2.0,2.7,1.6,3.2,1.7,0.6,4.1,6.6
Xavier Tillman Sr.,PF,22,MEM,19,6,402,5.8,10.7,.546,0.8,2.1,.375,5.0,8.5,.589,1.1,1.4,.750,2.3,5.3,7.6,2.8,1.7,1.1,1.5,4.3,13.5
Obi Toppin,PF,22,NYK,20,0,240,6.0,12.4,.482,1.6,5.5,.297,4.3,6.9,.630,1.0,1.5,.700,0.7,6.4,7.2,1.4,0.6,1.4,1.5,2.5,14.7
Juan Toscano-Anderson,SG,27,GSW,16,10,349,4.3,7.7,.560,1.1,2.7,.423,3.2,5.1,.633,1.0,1.4,.714,1.2,6.6,7.8,3.7,0.9,1.1,1.8,3.7,10.8
Karl-Anthony Towns,C,25,MIN,9,9,298,8.3,16.4,.507,2.2,5.1,.429,6.2,11.4,.543,4.8,5.2,.930,3.4,8.1,11.5,3.6,1.1,2.1,3.0,3.6,23.7
Gary Trent Jr.,SG,22,POR,26,13,785,6.6,14.9,.440,3.9,8.6,.447,2.7,6.3,.431,1.3,1.7,.784,0.6,1.9,2.5,1.7,0.9,0.2,0.8,1.8,18.3
P.J. Tucker,PF,35,HOU,26,26,780,1.9,5.2,.375,1.1,3.4,.329,0.8,1.8,.462,0.6,0.8,.824,1.2,4.3,5.5,1.7,1.0,0.6,1.2,3.6,5.6
Myles Turner,C,24,IND,27,27,842,5.4,10.8,.498,1.7,5.1,.325,3.7,5.7,.654,2.8,3.6,.776,1.5,6.1,7.6,1.2,1.2,4.0,1.6,4.2,15.3
Jonas Valančiūnas,C,28,MEM,19,18,522,8.6,14.6,.585,0.6,1.4,.381,8.0,13.2,.607,4.0,5.3,.753,4.2,9.9,14.1,2.7,0.8,1.0,2.8,4.3,21.7
Denzel Valentine,SG,27,CHI,23,3,462,5.7,14.6,.388,3.4,8.9,.377,2.3,5.8,.405,0.5,0.5,1.000,0.6,6.4,7.0,3.2,1.3,0.1,1.0,2.3,15.2
Jarred Vanderbilt,PF,21,MIN,27,10,517,4.7,7.9,.602,0.1,0.1,.500,4.7,7.7,.604,1.8,3.6,.510,3.5,7.8,11.3,3.3,2.1,1.3,1.7,4.2,11.4
Fred VanVleet,SG,26,TOR,28,28,1020,6.8,16.4,.417,3.2,8.6,.377,3.6,7.8,.462,3.2,3.6,.892,0.7,3.5,4.2,6.5,1.7,0.7,2.0,2.2,20.2
Devin Vassell,SF,20,SAS,26,1,451,4.0,10.1,.397,2.0,5.0,.397,2.0,5.0,.397,1.4,1.7,.857,1.3,5.3,6.6,2.2,2.3,0.7,1.0,2.6,11.4
Gabe Vincent,PG,24,MIA,18,5,292,5.1,14.3,.353,2.1,8.8,.239,3.0,5.5,.533,1.8,2.1,.882,0.5,2.2,2.7,3.3,0.9,0.1,2.2,4.4,14.1
Noah Vonleh,F,25,BRK,3,0,8,0.0,9.0,.000,0.0,4.5,.000,0.0,4.5,.000,0.0,0.0,0,0.0,4.5,4.5,4.5,0.0,0.0,9.0,9.0,0.0
Nikola Vučević,C,30,ORL,29,29,974,10.0,21.0,.476,2.8,6.7,.414,7.2,14.3,.505,2.3,2.8,.816,2.2,10.2,12.4,3.7,1.2,0.6,1.8,1.8,25.1
Dean Wade,PF,24,CLE,23,0,192,3.2,9.2,.347,2.1,6.2,.333,1.1,3.0,.375,0.7,0.9,.800,1.5,3.9,5.4,1.9,0.9,0.4,1.9,3.0,9.2
Moritz Wagner,C,23,WAS,14,3,191,6.0,10.2,.593,1.1,3.4,.333,4.9,6.8,.722,3.0,4.7,.640,1.1,7.0,8.1,2.5,1.7,0.8,1.5,6.8,16.2
Kemba Walker,PG,30,BOS,13,13,364,7.0,19.3,.364,3.4,9.4,.358,3.7,9.9,.370,3.7,4.1,.902,0.7,4.1,4.7,5.1,1.4,0.2,2.9,1.7,21.1
Lonnie Walker,SG,22,SAS,25,22,666,5.5,13.5,.406,2.1,5.9,.355,3.4,7.5,.446,1.5,1.9,.800,0.3,3.7,3.9,2.3,0.6,0.5,1.4,2.9,14.5
John Wall,PG,30,HOU,19,19,591,8.6,19.5,.441,2.4,6.8,.351,6.2,12.7,.488,4.1,5.5,.744,0.6,3.7,4.3,7.2,1.2,0.8,4.0,1.6,23.6
Brad Wanamaker,PG,31,GSW,29,0,465,3.0,9.0,.336,0.8,3.5,.222,2.2,5.5,.408,2.9,3.3,.884,0.5,3.6,4.0,6.0,1.8,0.3,1.9,3.3,9.8
T.J. Warren,SF,27,IND,4,4,117,8.3,15.7,.529,0.0,2.2,.000,8.3,13.5,.614,2.5,3.1,.800,0.6,3.7,4.3,1.5,0.6,0.0,1.2,4.9,19.1
P.J. Washington,PF,22,CHO,24,24,691,5.1,12.0,.420,1.4,4.1,.329,3.7,7.9,.467,2.5,3.4,.738,2.1,6.1,8.2,3.8,1.1,1.6,2.6,3.4,14.0
Yuta Watanabe,SF,26,TOR,18,0,223,2.9,8.2,.353,1.9,4.5,.429,1.0,3.7,.261,1.3,1.3,1.000,2.6,6.9,9.5,1.1,1.5,1.8,1.3,3.1,9.0
Tremont Waters,PG,23,BOS,9,1,90,2.4,10.8,.222,1.2,4.8,.250,1.2,6.0,.200,2.8,3.2,.875,0.8,2.4,3.2,10.0,2.0,0.0,5.2,2.4,8.8
Paul Watson,SF,26,TOR,13,0,42,7.7,12.0,.643,6.9,9.4,.727,0.9,2.6,.333,0.0,0.0,0,0.9,6.9,7.7,1.7,0.0,1.7,0.9,6.0,22.3
Quinndary Weatherspoon,SG,24,SAS,5,0,24,1.5,7.5,.200,0.0,1.5,.000,1.5,6.0,.250,3.0,3.0,1.000,0.0,3.0,3.0,4.5,1.5,0.0,9.0,10.5,6.0
Russell Westbrook,PG,32,WAS,19,19,631,7.9,19.4,.406,1.3,4.5,.295,6.6,14.9,.439,3.4,5.5,.619,1.9,8.3,10.2,10.3,0.9,0.4,5.4,3.1,20.5
Coby White,PG,20,CHI,27,27,904,6.0,14.8,.403,2.5,7.3,.350,3.4,7.5,.455,2.1,2.4,.867,0.4,4.7,5.1,5.8,0.4,0.1,2.6,2.6,16.6
Derrick White,SG,26,SAS,8,4,189,6.5,16.4,.395,2.9,8.4,.341,3.6,8.0,.452,2.1,2.9,.733,0.2,2.5,2.7,5.9,1.5,1.5,1.3,3.4,17.9
Hassan Whiteside,C,31,SAC,20,0,296,8.5,13.7,.619,0.0,0.1,.000,8.5,13.6,.625,3.3,6.2,.529,3.8,10.0,13.7,1.1,0.7,3.3,2.3,4.3,20.3
Andrew Wiggins,PF,25,GSW,29,29,934,7.5,16.1,.468,2.2,5.8,.373,5.4,10.3,.521,2.6,3.9,.670,1.2,4.2,5.3,2.4,0.8,1.5,2.0,2.7,19.8
Grant Williams,PF,22,BOS,24,6,462,3.6,7.9,.451,1.7,4.1,.415,1.9,3.8,.490,1.2,2.3,.517,1.9,3.8,5.7,1.8,0.9,0.8,1.8,5.5,10.1
Kenrich Williams,PF,26,OKC,28,6,512,4.6,8.5,.537,1.1,2.4,.441,3.5,6.1,.575,0.8,1.3,.632,2.8,4.9,7.7,3.4,1.5,0.4,1.8,3.4,11.0
Lou Williams,PG,34,LAC,28,3,626,7.1,16.7,.423,1.7,4.5,.380,5.3,12.2,.439,4.0,4.7,.854,0.6,3.3,3.9,6.3,1.3,0.2,2.5,1.7,19.9
Patrick Williams,PF,19,CHI,26,26,720,4.8,10.5,.455,1.1,2.9,.397,3.6,7.7,.477,2.3,2.9,.797,1.1,4.8,5.9,1.4,0.9,0.9,1.9,2.9,13.1
Robert Williams,C,23,BOS,21,0,317,6.4,8.7,.727,0.0,0.1,.000,6.4,8.6,.737,1.8,2.7,.667,5.2,7.4,12.6,1.8,2.5,2.7,2.5,3.9,14.5
Zion Williamson,PF,20,NOP,27,27,880,10.6,17.2,.618,0.2,0.7,.375,10.4,16.6,.627,6.1,8.6,.718,2.7,4.8,7.5,3.4,1.1,0.8,2.5,2.9,27.7
D.J. Wilson,PF,24,MIL,10,0,94,5.4,14.2,.378,3.1,8.8,.348,2.3,5.4,.429,0.4,0.8,.500,1.1,7.3,8.4,1.1,0.4,1.1,1.5,4.6,14.2
Dylan Windler,SF,24,CLE,15,0,262,4.3,8.9,.477,1.8,5.8,.310,2.5,3.2,.783,2.1,2.3,.882,1.5,6.2,7.7,2.5,1.2,1.1,2.1,2.6,12.4
Cassius Winston,PG,22,WAS,6,0,44,3.3,8.2,.400,2.5,5.7,.429,0.8,2.5,.333,1.6,1.6,1.000,0.0,3.3,3.3,4.9,0.0,0.8,0.8,3.3,10.6
James Wiseman,C,19,GSW,20,16,419,8.4,16.8,.503,0.8,1.9,.409,7.6,14.9,.514,3.3,5.2,.623,2.6,7.9,10.5,1.2,0.7,2.2,2.7,5.4,20.9
Christian Wood,C,25,HOU,17,17,530,10.1,18.1,.558,2.2,5.2,.421,7.9,13.0,.613,3.0,4.3,.688,2.1,9.7,11.8,1.5,1.1,1.8,2.1,2.2,25.4
Robert Woodard,SF,21,SAC,6,0,17,12.7,23.3,.545,2.1,6.4,.333,10.6,16.9,.625,0.0,4.2,.000,6.4,10.6,16.9,0.0,0.0,0.0,2.1,0.0,27.5
Delon Wright,SG,28,DET,28,23,823,4.5,10.0,.456,1.0,3.0,.353,3.5,7.0,.500,2.7,3.5,.785,1.4,4.3,5.7,6.0,1.7,0.7,1.5,1.3,12.9
Thaddeus Young,PF,32,CHI,23,0,592,7.2,12.2,.587,0.3,1.3,.238,6.9,10.9,.628,1.0,2.1,.500,3.4,4.7,8.1,6.1,1.9,0.7,2.9,4.1,15.7
Trae Young,PG,22,ATL,26,26,901,7.9,18.3,.429,2.4,6.4,.369,5.5,11.9,.462,9.4,10.6,.887,0.7,3.3,4.0,9.6,0.8,0.3,4.4,2.1,27.5
Cody Zeller,C,28,CHO,15,12,361,6.3,12.0,.525,0.3,1.6,.188,6.0,10.4,.577,2.2,2.9,.759,3.9,8.1,12.0,3.7,1.0,0.9,1.4,3.7,15.1
Ivica Zubac,C,23,LAC,30,1,586,5.8,8.7,.669,0.0,0.1,.000,5.8,8.7,.674,3.7,4.4,.845,4.2,8.0,12.2,2.0,0.7,1.5,1.8,4.8,15.4
