Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Alejandro Moreno,LA ,F,25,12,1292,6,2,29,12,1,0/0,2,4,0.42,20.7,0,1,1,0.14,26,41,10,0,0,41.38,2004,reg
Cornell Glen,MET,F,18,10,964,6,2,42,21,1,0/0,1,5,0.56,14.3,0,1,1,0.19,21,38,7,4,0,50.0,2004,reg
Toni Nhleko,DAL,F,23,13,1184,6,2,49,23,2,0/0,4,2,0.46,12.2,0,0,2,0.15,33,20,14,1,0,46.94,2004,reg
Freddy Adu,DC ,F,30,14,1435,5,3,33,16,1,0/0,3,2,0.31,15.2,1,2,1,0.19,31,50,9,4,0,48.48,2004,reg
Dwayne De Rosario,SJ ,M,21,12,1211,5,3,40,14,0,0/0,2,3,0.37,12.5,1,3,0,0.22,27,35,19,3,0,35.0,2004,reg
Kyle Martino,CLB,M,29,27,2301,5,2,31,17,2,1/1,3,2,0.2,16.1,0,1,1,0.08,36,84,12,1,0,54.84,2004,reg
Jason Kreis,DAL,M,25,19,1703,5,2,42,16,0,0/0,2,3,0.26,11.9,0,2,0,0.11,26,18,9,2,1,38.1,2004,reg
Fabian Taylor,MET,F,21,8,877,5,1,45,18,1,0/0,3,2,0.51,11.1,0,1,0,0.1,20,12,2,1,0,40.0,2004,reg
Andy Williams,CHI,M,25,23,2023,4,9,48,20,1,1/1,2,2,0.18,8.3,3,7,2,0.4,43,83,4,7,0,41.67,2004,reg
Chris Klein,KC ,M,19,19,1694,4,8,47,23,2,1/2,4,0,0.21,8.5,3,2,6,0.43,11,11,5,1,1,48.94,2004,reg
Andreas Herzog,LA ,M-F,27,25,2048,4,7,68,26,0,1/1,2,2,0.18,5.9,1,2,5,0.31,27,48,2,7,0,38.24,2004,reg
Nate Jaqua,CHI,F,26,21,1832,4,4,45,19,1,0/0,2,2,0.2,8.9,2,4,0,0.2,34,29,7,3,1,42.22,2004,reg
Ronnie Ekelund,SJ ,M,26,24,2016,4,3,32,12,0,3/4,1,3,0.18,12.5,1,3,0,0.13,29,31,0,2,0,37.5,2004,reg
Joseph Ngwenya,LA ,F,22,8,876,4,2,17,8,0,0/0,1,3,0.41,23.5,0,1,1,0.21,18,26,7,0,0,47.06,2004,reg
Jordan Cila,COL,F-M,21,15,1308,4,2,24,16,3,0/0,2,2,0.28,16.7,0,1,1,0.14,22,17,2,2,0,66.67,2004,reg
Ante Razov,CHI,F,13,11,996,4,2,52,25,0,1/2,1,3,0.36,7.7,0,1,1,0.18,12,17,13,2,0,48.08,2004,reg
John Spencer,COL,F,22,19,1750,4,1,52,21,0,0/1,1,3,0.21,7.7,1,1,0,0.05,27,36,16,2,1,40.38,2004,reg
Andy Herron,CHI,F,4,3,309,4,0,8,4,1,0/0,2,2,1.17,50.0,0,0,0,0.0,9,6,2,0,0,50.0,2004,reg
Christian Gomez,DC ,M,9,8,581,4,0,12,7,1,0/0,4,0,0.62,33.3,0,0,0,0.0,15,8,3,1,0,58.33,2004,reg
Jose Cancela,NE ,M,25,24,1957,3,10,41,20,1,2/3,2,1,0.14,7.3,3,5,5,0.46,10,73,4,0,0,48.78,2004,reg
Brian Mullan,SJ ,D,28,28,2408,3,8,41,20,2,0/0,3,0,0.11,7.3,2,4,4,0.3,68,69,13,5,1,48.78,2004,reg
Chris Henderson,COL,M,29,29,2562,3,5,59,28,1,1/1,3,0,0.11,5.1,2,3,2,0.18,36,40,23,2,1,47.46,2004,reg
Justin Mapp,CHI,M,24,19,1625,3,4,23,8,1,0/0,2,1,0.17,13.0,1,3,1,0.22,19,54,8,0,0,34.78,2004,reg
Diego Gutierrez,KC ,D,28,28,2520,3,4,28,8,3,0/0,1,2,0.11,10.7,0,3,1,0.14,53,55,1,8,0,28.57,2004,reg
Mike Magee,MET,M,22,18,1534,3,4,30,15,1,1/1,2,1,0.18,10.0,1,3,1,0.23,23,38,4,4,0,50.0,2004,reg
Earnie Stewart,DC ,M,26,23,2093,3,4,33,16,1,0/0,2,1,0.13,9.1,0,1,3,0.17,28,13,6,5,0,48.48,2004,reg
Ben Olsen,DC ,M,25,25,2046,3,4,41,26,0,0/0,2,1,0.13,7.3,2,4,0,0.18,58,58,8,7,0,63.41,2004,reg
Mark Chung,COL,M,22,21,1914,3,4,49,20,1,1/1,2,1,0.14,6.1,1,1,3,0.19,21,35,1,0,0,40.82,2004,reg
Sasha Victorine,LA ,M,26,25,2264,3,3,21,9,0,0/0,2,1,0.12,14.3,2,3,0,0.12,26,24,4,0,0,42.86,2004,reg
Matt Taylor,KC ,F,17,4,522,3,1,11,6,2,0/0,1,2,0.52,27.3,0,1,0,0.17,9,9,2,0,0,54.55,2004,reg
Ramiro Corrales,SJ ,M,29,28,2474,3,1,42,12,1,0/0,2,1,0.11,7.1,1,1,0,0.04,35,35,1,4,1,28.57,2004,reg
Dema Kovalenko,DC ,M,25,25,2163,2,10,37,20,0,0/0,1,1,0.08,5.4,4,7,3,0.42,46,33,5,6,2,54.05,2004,reg
Ronnie O'Brien,DAL,M,29,29,2581,2,10,67,30,0,0/0,1,1,0.07,3.0,4,6,4,0.35,53,27,5,4,0,44.78,2004,reg
Bobby Rhine,DAL,M,19,6,688,2,2,21,9,0,1/1,1,1,0.26,9.5,0,2,0,0.26,12,16,1,5,0,42.86,2004,reg
Jack Jewsbury,KC ,M,22,15,1406,2,2,23,12,1,0/0,2,0,0.13,8.7,1,1,1,0.13,24,17,2,2,0,52.17,2004,reg
Brad Davis,DAL,M,29,24,1945,2,2,34,11,0,0/0,2,0,0.09,5.9,1,2,0,0.09,37,28,4,2,1,32.35,2004,reg
Tyrone Marshall,LA ,D,18,17,1448,2,1,3,3,0,0/0,1,1,0.12,66.7,1,1,0,0.06,31,12,0,4,0,100.0,2004,reg
Tony Sanneh,CLB,D,6,6,513,2,1,5,2,2,0/0,1,1,0.35,40.0,0,1,0,0.18,9,7,0,2,0,40.0,2004,reg
Andy Dorman,NE ,M,20,2,362,2,1,6,5,0,0/0,0,2,0.5,33.3,0,0,1,0.25,11,3,0,0,0,83.33,2004,reg
Nat Borchers,COL,D,29,29,2610,2,1,11,5,1,0/0,1,1,0.07,18.2,1,0,1,0.03,37,17,0,5,1,45.45,2004,reg
Chris Brown,SJ ,M-F,11,7,558,2,1,15,5,1,0/0,1,1,0.32,13.3,0,1,0,0.16,9,7,5,0,0,33.33,2004,reg
Duncan Oughton,CLB,D,28,21,2018,2,1,20,8,0,0/0,1,1,0.09,10.0,0,1,0,0.04,43,32,3,2,0,40.0,2004,reg
Ronald Cerritos,DC ,F,10,6,543,2,1,20,9,0,0/0,1,1,0.33,10.0,0,1,0,0.17,8,7,6,1,0,45.0,2004,reg
Sergio Galvan Rey,MET,F,20,10,866,2,1,23,9,0,1/1,2,0,0.21,8.7,0,1,0,0.1,4,7,7,0,0,39.13,2004,reg
Ryan Nelsen,DC ,D,17,17,1417,2,0,7,4,0,0/0,2,0,0.13,28.6,0,0,0,0.0,24,4,0,2,1,57.14,2004,reg
Dipsy Selolwane,CHI,F,19,5,623,2,0,14,5,1,0/0,1,1,0.29,14.3,0,0,0,0.0,16,14,5,0,0,35.71,2004,reg
Frankie Hejduk,CLB,D,20,19,1643,2,0,28,14,0,0/0,1,1,0.11,7.1,0,0,0,0.0,36,25,2,4,1,50.0,2004,reg
Richard Mulrooney,SJ ,M,30,30,2700,1,8,28,13,0,0/0,1,0,0.03,3.6,2,7,1,0.27,35,89,2,4,0,46.43,2004,reg
Chris Armas,CHI,M,21,20,1820,1,7,18,5,0,0/0,0,1,0.05,5.6,2,7,0,0.35,33,29,2,5,0,27.78,2004,reg
Oscar Pareja,DAL,M,24,12,1095,1,6,12,3,0,0/0,1,0,0.08,8.3,1,3,3,0.49,30,32,1,3,1,25.0,2004,reg
Chris Albright,LA ,D,24,24,2111,1,6,15,6,1,0/0,1,0,0.04,6.7,1,2,4,0.26,37,33,1,7,1,40.0,2004,reg
Simo Valakari,DAL,M,26,26,2297,1,4,11,5,1,0/0,0,1,0.04,9.1,0,4,0,0.16,73,23,0,8,2,45.45,2004,reg
Jeff Agoos,SJ ,D,24,24,2152,1,4,15,7,0,0/0,1,0,0.04,6.7,0,3,1,0.17,10,22,0,3,1,46.67,2004,reg
Matt Crawford,COL,M,30,28,2533,1,4,20,9,0,0/0,0,1,0.04,5.0,0,1,3,0.14,34,32,0,4,0,45.0,2004,reg
Joshua Gros,DC ,M-D,29,21,2084,1,4,30,17,0,0/0,0,1,0.04,3.3,0,1,3,0.17,46,29,4,6,0,56.67,2004,reg
Ned Grabavoy,LA ,M,15,11,927,1,3,7,7,1,0/0,1,0,0.1,14.3,2,2,1,0.29,15,14,1,2,0,100.0,2004,reg
Alberto Delgado,COL,F,13,9,741,1,3,15,6,1,0/0,1,0,0.12,6.7,0,1,2,0.36,15,25,7,0,0,40.0,2004,reg
Eric Quill,DAL,F,23,16,1377,1,3,23,12,0,0/0,0,1,0.07,4.3,1,2,1,0.2,23,15,5,1,0,52.17,2004,reg
Felix Brillant,NE ,M-F,19,6,850,1,2,8,4,0,0/0,1,0,0.11,12.5,0,1,1,0.21,22,16,3,0,0,50.0,2004,reg
Manny Lagos,CLB,M,18,8,763,1,2,10,3,0,0/0,0,1,0.12,10.0,1,2,0,0.24,14,14,1,2,0,30.0,2004,reg
Jay Heaps,NE ,D,28,26,2415,1,2,11,6,0,0/0,0,1,0.04,9.1,0,1,1,0.07,23,30,2,4,0,54.55,2004,reg
Arturo Torres,LA ,F,18,5,591,1,2,13,6,1,0/0,1,0,0.15,7.7,0,2,0,0.3,9,3,0,0,0,46.15,2004,reg
Kyle Beckerman,RSL,M,29,25,2241,1,2,29,13,0,0/0,1,0,0.04,3.4,2,1,1,0.08,57,30,1,5,0,44.83,2004,reg
Michael Ritch,CLB,F,12,4,395,1,1,9,4,0,0/0,0,1,0.23,11.1,0,1,0,0.23,6,4,0,1,0,44.44,2004,reg
Seth Trembly,COL,M-D,24,5,755,1,1,13,8,0,0/0,0,1,0.12,7.7,0,1,0,0.12,19,21,1,3,0,61.54,2004,reg
Jose Burciaga Jr.,KC ,D,24,21,1875,1,1,15,6,0,0/0,0,1,0.05,6.7,0,1,0,0.05,17,19,1,2,1,40.0,2004,reg
Craig Waibel,SJ ,D,23,23,2005,1,1,15,7,0,0/0,1,0,0.04,6.7,1,0,1,0.04,33,10,0,2,1,46.67,2004,reg
Jeff Parke,MET,D,28,27,2409,1,1,23,10,0,0/0,0,1,0.04,4.3,0,1,0,0.04,22,24,0,5,0,43.48,2004,reg
Ricardo Clark,MET,M,26,19,1765,1,1,25,7,0,0/0,0,1,0.05,4.0,1,0,1,0.05,37,40,2,7,0,28.0,2004,reg
Joselito Vaca,MET,M,22,20,1672,1,1,31,13,0,0/0,0,1,0.05,3.2,0,1,0,0.05,19,31,0,0,0,41.94,2004,reg
Kenny Arena,MET,D,10,8,707,1,0,2,1,0,0/0,1,0,0.13,50.0,0,0,0,0.0,13,8,0,2,0,50.0,2004,reg
Taylor Graham,KC ,D,17,7,746,1,0,4,2,0,0/0,0,1,0.12,25.0,0,0,0,0.0,6,7,0,1,0,50.0,2004,reg
Craig Capano,CHI,M,13,4,436,1,0,5,2,0,0/0,1,0,0.21,20.0,0,0,0,0.0,5,4,0,0,0,40.0,2004,reg
Mike Petke,DC ,D,26,23,2027,1,0,7,3,1,0/0,1,0,0.04,14.3,0,0,0,0.0,40,15,0,6,0,42.86,2004,reg
Matt Behncke,DAL,D,17,14,1239,1,0,7,2,0,0/0,0,1,0.07,14.3,0,0,0,0.0,26,11,1,2,0,28.57,2004,reg
Shavar Thomas,KC ,D,25,22,1879,1,0,7,3,0,0/0,0,1,0.05,14.3,0,0,0,0.0,44,11,0,4,1,42.86,2004,reg
Arturo Alvarez,SJ ,M,11,2,373,1,0,7,4,1,0/0,0,1,0.24,14.3,0,0,0,0.0,14,5,0,3,0,57.14,2004,reg
Troy Dayak,SJ ,D,16,15,1367,1,0,8,4,0,0/0,1,0,0.07,12.5,0,0,0,0.0,22,11,1,5,1,50.0,2004,reg
Zizi Roberts,COL,F,5,4,363,1,0,10,1,0,0/0,1,0,0.25,10.0,0,0,0,0.0,5,8,11,0,0,10.0,2004,reg
Jimmy Conrad,KC ,D,29,29,2610,1,0,12,6,0,0/0,0,1,0.03,8.3,0,0,0,0.0,33,25,3,2,0,50.0,2004,reg
Steve Jolley,DAL,D,28,28,2428,1,0,13,6,0,0/0,1,0,0.04,7.7,0,0,0,0.0,20,14,1,4,0,46.15,2004,reg
Igor Simutenkov,KC ,M-F,9,5,455,1,0,16,5,1,0/0,1,0,0.2,6.3,0,0,0,0.0,9,12,0,0,0,31.25,2004,reg
Kelly Gray,CHI,D-M,25,23,2112,1,0,20,6,0,0/0,1,0,0.04,5.0,0,0,0,0.0,8,13,2,2,0,30.0,2004,reg
Joe Franchino,NE ,M,20,20,1693,1,0,21,7,0,0/0,1,0,0.05,4.8,0,0,0,0.0,31,22,2,3,1,33.33,2004,reg
Francisco Gomez,KC ,M,23,10,1091,1,0,30,10,0,0/0,0,1,0.08,3.3,0,0,0,0.0,9,18,0,0,0,33.33,2004,reg
Simon Elliott,CLB,M,27,26,2353,0,10,18,4,0,0/0,0,0,0.0,0.0,5,6,4,0.38,28,29,2,3,0,22.22,2004,reg
Richie Baker,NE ,M,20,11,1047,0,6,14,7,0,0/0,0,0,0.0,0.0,0,4,2,0.52,17,12,4,2,0,50.0,2004,reg
Cobi Jones,LA ,M,23,20,1749,0,5,19,6,0,0/0,0,0,0.0,0.0,0,3,2,0.26,12,30,5,1,0,31.58,2004,reg
Antonio de la Torre,COL,D,28,28,2409,0,5,29,7,0,0/0,0,0,0.0,0.0,3,4,1,0.19,30,13,0,5,0,24.14,2004,reg
Mark Lisi,MET,M,11,8,694,0,4,14,5,0,0/0,0,0,0.0,0.0,1,1,3,0.52,10,9,1,2,0,35.71,2004,reg
Bobby Convey,DC ,M,10,10,823,0,3,16,4,0,0/0,0,0,0.0,0.0,0,1,2,0.33,15,18,6,2,0,25.0,2004,reg
Shalrie Joseph,NE ,M,23,23,2032,0,3,17,4,0,0/0,0,0,0.0,0.0,2,2,1,0.13,43,27,0,4,1,23.53,2004,reg
DaMarcus Beasley,CHI,D,15,14,1290,0,3,23,6,0,0/0,0,0,0.0,0.0,0,1,2,0.21,21,50,3,1,0,26.09,2004,reg
Ricky Lewis,COL,D,18,11,1141,0,2,1,0,0,0/0,0,0,0.0,0.0,1,2,0,0.16,20,10,0,0,0,0.0,2004,reg
Scott Buete,CHI,M,13,8,700,0,2,2,0,0,0/0,0,0,0.0,0.0,0,1,1,0.26,18,9,0,3,1,0.0,2004,reg
Logan Pause,CHI,M,21,19,1481,0,2,2,1,0,0/0,0,0,0.0,0.0,0,2,0,0.12,19,12,0,2,1,50.0,2004,reg
Joe-Max Moore,NE ,F,3,3,246,0,2,4,2,0,0/0,0,0,0.0,0.0,0,1,1,0.73,4,1,1,1,0,50.0,2004,reg
Eric Denton,CLB,D,18,16,1310,0,2,4,2,0,0/0,0,0,0.0,0.0,1,1,1,0.14,17,10,3,4,0,50.0,2004,reg
Bryan Namoff,DC ,D,27,27,2384,0,2,4,1,0,0/0,0,0,0.0,0.0,0,2,0,0.08,62,28,0,5,0,25.0,2004,reg
Craig Ziadie,MET,D,15,14,1289,0,2,4,0,0,0/0,0,0,0.0,0.0,2,1,1,0.14,23,12,1,4,1,0.0,2004,reg
Chris Wingert,CLB,D,22,16,1487,0,2,11,5,0,0/0,0,0,0.0,0.0,1,2,0,0.12,25,15,2,4,0,45.45,2004,reg
Kerry Zavagnin,KC ,M,24,24,2160,0,2,12,2,0,0/0,0,0,0.0,0.0,2,2,0,0.08,39,34,0,4,0,16.67,2004,reg
Chris Leitch,MET,D,29,29,2610,0,2,13,3,0,0/0,0,0,0.0,0.0,0,1,1,0.07,26,27,0,4,0,23.08,2004,reg
Brian Kamler,NE ,M,22,20,1653,0,2,14,6,0,0/0,0,0,0.0,0.0,0,2,0,0.11,13,25,1,2,0,42.86,2004,reg
Evan Whitfield,CHI,D,23,19,1664,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.05,40,16,0,6,1,0.0,2004,reg
Peter Vagenas,LA ,M,12,10,912,0,1,2,0,0,0/0,0,0,0.0,0.0,1,1,0,0.1,12,15,0,3,0,0.0,2004,reg
Joey DiGiamarino,COL,M,8,5,412,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.22,4,5,0,2,0,0.0,2004,reg
Ryan Cochrane,SJ ,D,18,18,1459,0,1,3,3,0,0/0,0,0,0.0,0.0,0,0,1,0.06,25,10,1,3,1,100.0,2004,reg
Nick Garcia,KC ,D,26,26,2295,0,1,4,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,31,18,2,6,0,25.0,2004,reg
C.J. Brown,CHI,D,24,24,2130,0,1,5,2,0,0/0,0,0,0.0,0.0,1,1,0,0.04,32,30,0,4,1,40.0,2004,reg
Paul Broome,LA ,M,22,20,1758,0,1,5,3,0,0/0,0,0,0.0,0.0,0,1,0,0.05,30,23,0,7,0,60.0,2004,reg
Chris Gbandi,DAL,D,23,20,1771,0,1,5,0,0,0/0,0,0,0.0,0.0,0,0,1,0.05,27,24,0,8,0,0.0,2004,reg
Marshall Leonard,NE ,M,25,22,1992,0,1,5,2,0,0/0,0,0,0.0,0.0,1,1,0,0.05,45,22,0,7,0,40.0,2004,reg
Danny Szetela,CLB,M,8,4,373,0,1,6,1,0,0/0,0,0,0.0,0.0,0,0,1,0.24,12,7,2,3,0,16.67,2004,reg
Ritchie Kotschau,COL,D,28,26,2350,0,1,7,0,0,0/0,0,0,0.0,0.0,0,0,1,0.04,30,21,1,0,0,0.0,2004,reg
Orlando Perez,CHI,D,17,13,1074,0,1,7,2,0,0/0,0,0,0.0,0.0,0,1,0,0.08,11,5,1,2,0,28.57,2004,reg
Gilberto Flores,MET,M,7,7,451,0,1,7,1,0,0/0,0,0,0.0,0.0,1,1,0,0.2,21,20,0,1,0,14.29,2004,reg
David Testo,CLB,M-F,16,4,441,0,1,7,4,0,0/0,0,0,0.0,0.0,0,1,0,0.2,9,6,1,1,0,57.14,2004,reg
Rey Angel Martinez,COL,F,7,3,313,0,1,9,2,0,0/0,0,0,0.0,0.0,0,1,0,0.29,5,10,1,1,0,22.22,2004,reg
Marcelo Saragosa,LA ,M,26,24,2122,0,1,9,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,62,60,0,6,0,11.11,2004,reg
Carey Talley,DAL,D,23,19,1687,0,1,11,7,0,0/0,0,0,0.0,0.0,1,1,0,0.05,33,13,1,6,0,63.64,2004,reg
Jim Curtin,CHI,D,30,30,2700,0,1,12,7,0,0/0,0,0,0.0,0.0,0,0,1,0.03,26,28,1,5,0,58.33,2004,reg
Cory Gibbs,DAL,D,21,21,1850,0,1,12,2,0,0/0,0,0,0.0,0.0,0,1,0,0.05,32,29,0,4,0,16.67,2004,reg
Brian Carroll,DC ,M,30,26,2435,0,1,12,3,0,0/0,0,0,0.0,0.0,0,1,0,0.04,42,11,0,4,0,25.0,2004,reg
Ian Russell,SJ ,D,22,12,1087,0,1,13,6,0,0/0,0,0,0.0,0.0,1,0,1,0.08,21,12,5,2,0,46.15,2004,reg
Chad Marshall,CLB,D,28,27,2446,0,1,24,10,0,0/0,0,0,0.0,0.0,0,1,0,0.04,34,15,0,1,0,41.67,2004,reg
Erick Scott,CLB,F,6,2,142,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,3,0,0,,2004,reg
Michael Bradley,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Eddie Robinson,SJ ,D,8,6,458,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,9,0,2,0,,2004,reg
Chris Roner,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Devin Barclay,CLB,F,3,1,72,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2004,reg
Steve Howey,NE ,D,3,3,193,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2004,reg
Nelson Akwari,CLB,D,19,16,1400,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,6,0,4,0,,2004,reg
Jesse Marsch,CHI,M,10,8,680,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,14,0,4,0,,2004,reg
Eliseo Quintanilla,DC ,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Seth Stammler,MET,M-D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Kevin Ara,DC ,M,6,1,113,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,1,1,0,,2004,reg
Adrian Cann,COL,D,2,0,11,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Roger Levesque,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
David Wagenfuhr,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Ty Maurin,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Vuk Rasovic,KC ,D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Sumed Ibrahim,CHI,M,3,1,82,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,,2004,reg
Bobby Thompson,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Jason Thompson,DAL,F,2,0,61,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,,2004,reg
Scot Thompson,LA ,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Brian Roberts,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Tighe Dombrowski,SJ ,M,4,0,44,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Michael Erush,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
David de la Torre,COL,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
G.R. Cannon,DC ,D,1,0,35,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,,2004,reg
Denny Clanton,CHI,D,10,6,499,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,4,0,1,0,,2004,reg
Perek Belleh,NE ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Jake Traeger,CLB,D,1,0,3,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Luke Vercollone,NE ,M,2,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Tim Lawson,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Jamal Sutton,CLB,F,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,reg
Nana Kuffour,DC ,F,5,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,0,0,0.0,2004,reg
Josh Gardner,LA ,M,2,0,25,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2004,reg
Chris Aloisi,LA ,D,4,3,280,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,7,0,3,0,0.0,2004,reg
Dante Washington,CLB,F,1,0,19,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,100.0,2004,reg
Brandon Prideaux,DC ,D,23,16,1455,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,32,17,1,1,0,0.0,2004,reg
Daouda Kante,NE ,D,4,3,220,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,1,0,0.0,2004,reg
Rusty Pierce,NE ,D,14,13,1179,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,17,0,3,0,0.0,2004,reg
Hong Myung Bo,LA ,D,13,9,856,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,2,0,2,0,100.0,2004,reg
Chris Carrieri,CHI,F,1,0,34,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,1,0,0,0.0,2004,reg
Santino Quaranta,DC ,M-F,1,0,23,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,0.0,2004,reg
Zach Kingsley,COL,M,2,1,78,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,0.0,2004,reg
Robin Fraser,CLB,D,28,28,2520,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,37,6,0,3,1,0.0,2004,reg
Wes Hart,SJ ,D-M,18,13,1178,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,23,8,1,3,0,0.0,2004,reg
Jordan Stone,DAL,M,5,1,143,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,0.0,2004,reg
Khari Stephenson,KC ,M,3,0,43,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,1,0,0.0,2004,reg
Preki,KC ,M,2,1,89,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2004,reg
Leonard Griffin,CHI,D,9,3,329,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,5,1,0,0,50.0,2004,reg
Clarence Goodson,DAL,D,5,2,247,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,1,2,0,0.0,2004,reg
Tim Regan,MET,D,12,7,577,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,10,0,2,0,33.33,2004,reg
David Castellanos,COL,F,3,1,132,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,2,1,0,33.33,2004,reg
Justin Detter,KC ,F,6,2,161,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,66.67,2004,reg
Guillermo Gonzalez,LA ,M,6,1,111,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,1,1,0,0.0,2004,reg
Stephen Herdsman,CLB,D,8,8,675,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,4,0,1,0,0.0,2004,reg
Danny Califf,LA ,D,13,10,853,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,11,0,2,0,66.67,2004,reg
